time (s)	magX	magY	magZ
3233.300351	-318.263611	139.364105	-268.131500
3233.303673	-319.549408	140.299240	-271.755127
3233.307004	-321.010529	140.416138	-275.261841
3233.310344	-321.887207	141.059021	-278.943909
3233.313670	-323.523682	141.585037	-283.327301
3233.317468	-325.101715	142.403275	-287.243164
3233.320788	-326.621277	143.689072	-291.392761
3233.324103	-328.140869	143.864410	-295.367065
3233.327426	-328.199310	145.033310	-299.399780
3233.330793	-329.894226	145.910004	-304.309174
3233.334092	-331.238464	146.085327	-308.634155
3233.337426	-331.822937	147.020447	-313.835785
3233.340767	-332.933380	147.838684	-318.862091
3233.344100	-334.452972	148.598480	-322.544159
3233.347424	-335.388092	150.059601	-327.921112
3233.350782	-336.556976	151.053192	-333.707184
3233.354595	-337.784332	152.280548	-338.558167
3233.357869	-338.953278	153.390991	-343.935150
3233.361212	-339.771484	153.566330	-349.662781
3233.364520	-340.239044	154.969025	-355.215088
3233.367866	-341.641754	155.962585	-360.708954
3233.371206	-342.752197	157.014618	-366.787262
3233.374620	-342.869110	158.125061	-373.625366
3233.377941	-344.037994	158.358856	-380.229706
3233.381266	-345.323822	159.060196	-386.308044
3233.384520	-346.025146	159.118652	-393.204559
3233.388287	-347.310944	160.229095	-400.101105
3233.391668	-347.836945	161.222687	-407.114563
3233.395004	-348.187622	161.105774	-413.660431
3233.398353	-348.187622	161.865570	-421.492096
3233.401686	-349.999420	162.274689	-429.148437
3233.405007	-350.467010	162.917603	-435.694366
3233.408307	-350.467010	163.034485	-444.461151
3233.411687	-350.291656	163.268250	-451.942169
3233.415012	-351.168335	163.092926	-460.825836
3233.418368	-351.694366	162.800690	-468.365295
3233.421713	-352.103455	163.560486	-477.015228
3233.425494	-351.635895	162.976028	-485.489807
3233.428809	-352.337250	162.800690	-494.899475
3233.432086	-352.103455	162.450043	-504.718292
3233.435384	-351.226776	162.333130	-512.199280
3233.438665	-351.051422	162.157806	-521.024536
3233.441997	-350.467010	162.742249	-530.901794
