time (s)	det(V)
3233.298024	-1.067951	
3233.299773	-1.232593	
3233.301298	-1.068318	
3233.303031	-1.274423	
3233.304553	-1.162246	
3233.306276	-1.361229	
3233.307809	-1.173545	
3233.309516	-1.407740	
3233.311067	-1.173606	
3233.312747	-1.424538	
3233.314309	-1.219041	
3233.315948	-1.471520	
3233.317551	-1.271752	
3233.319114	-1.425726	
3233.320734	-1.339593	
3233.322254	-1.412787	
3233.323910	-1.385226	
3233.325397	-1.468551	
3233.327124	-1.400650	
3233.328597	-1.474098	
3233.330312	-1.564268	
3233.331794	-1.454323	
3233.333484	-1.575701	
3233.334972	-1.513153	
3233.336681	-1.704313	
3233.338170	-1.550439	
3233.339873	-1.703684	
3233.341371	-1.589159	
3233.343039	-1.822528	
3233.344573	-1.645294	
3233.346200	-1.832289	
3233.347739	-1.716922	
3233.349350	-1.838492	
3233.350923	-1.817525	
3233.352492	-1.812139	
3233.354102	-1.853715	
3233.355629	-1.838416	
3233.357245	-1.853876	
3233.358734	-1.853848	
3233.360386	-1.853671	
3233.361858	-1.850460	
3233.363496	-1.855588	
3233.364980	-1.855371	
3233.366619	-1.855492	
3233.368101	-1.855331	
3233.369705	-1.855379	
3233.371246	-1.855568	
3233.372794	-1.855625	
3233.374388	-1.855745	
3233.375886	-1.855471	
3233.377529	-1.855548	
3233.379026	-1.855713	
3233.380661	-1.855661	
3233.382182	-1.855770	
3233.383810	-1.855842	
3233.385284	-1.855745	
3233.386911	-1.855887	
3233.388395	-1.855818	
3233.389951	-1.855790	
3233.391467	-1.855814	
3233.392966	-1.855842	
3233.394534	-1.855830	
3233.396059	-1.855802	
3233.397665	-1.855750	
3233.399162	-1.855830	
3233.400723	-1.855818	
3233.402238	-1.855814	
3233.403815	-1.855806	
3233.405289	-1.855717	
3233.406859	-1.855802	
3233.408355	-1.855854	
3233.409920	-1.855858	
3233.411438	-1.855822	
3233.412938	-1.855915	
3233.414510	-1.855790	
3233.416031	-1.855915	
3233.417624	-1.855794	
3233.419120	-1.855842	
3233.420676	-1.855947	
3233.422203	-1.855898	
3233.423759	-1.855778	
3233.425275	-1.855850	
3233.426764	-1.855919	
3233.428342	-1.855947	
3233.429864	-1.855830	
3233.431448	-1.855834	
3233.432951	-1.855931	
3233.434512	-1.855834	
3233.436027	-1.855786	
3233.437588	-1.855911	
3233.439122	-1.855878	
3233.440661	-1.855758	
3233.442201	-1.855850	
3233.443712	-1.855830	
3233.445304	-1.855919	
3233.446808	-1.855895	
3233.448387	-1.855870	
3233.449878	-1.855762	
3233.451458	-1.855818	
3233.452975	-1.855870	
3233.454531	-1.855891	
3233.456055	-1.855939	
3233.457604	-1.855887	
3233.459135	-1.855886	
3233.460642	-1.855802	
3233.462228	-1.855794	
3233.463712	-1.855886	
3233.465316	-1.855979	
3233.466807	-1.855939	
3233.468388	-1.855778	
3233.469884	-1.855891	
3233.471449	-1.855866	
3233.472971	-1.855770	
3233.474537	-1.855802	
3233.476064	-1.855891	
3233.477599	-1.855798	
3233.479151	-1.855846	
3233.480666	-1.855850	
3233.482229	-1.855919	
3233.483722	-1.855838	
3233.485302	-1.855842	
3233.486816	-1.855923	
3233.488397	-1.855923	
3233.489884	-1.855862	
3233.491424	-1.855870	
3233.492973	-1.855907	
3233.494502	-1.855818	
3233.496045	-1.855846	
3233.497582	-1.855886	
3233.499130	-1.855983	
3233.500631	-1.855806	
3233.502209	-1.855826	
3233.503730	-1.855951	
3233.505314	-1.855887	
3233.506821	-1.855886	
3233.508381	-1.855955	
3233.509906	-1.855826	
3233.511443	-1.855810	
3233.512988	-1.855935	
3233.514489	-1.855927	
3233.516083	-1.855822	
3233.517593	-1.855898	
3233.519183	-1.855733	
3233.520681	-1.855882	
3233.522269	-1.855862	
3233.523773	-1.855810	
3233.525331	-1.855629	
3233.526862	-1.855878	
3233.528403	-1.855802	
3233.529933	-1.855903	
3233.531443	-1.855810	
3233.533033	-1.855854	
3233.534516	-1.855806	
3233.536274	-1.855798	
3233.537809	-1.855915	
3233.539518	-1.855592	
3233.541064	-1.855798	
3233.542734	-1.855782	
3233.544302	-1.855802	
3233.545977	-1.855846	
3233.547545	-1.855818	
3233.549193	-1.855649	
3233.550781	-1.855757	
3233.552423	-1.855629	
3233.554042	-1.855733	
3233.555644	-1.855818	
3233.557291	-1.855717	
3233.558911	-1.855834	
3233.560553	-1.855689	
3233.562151	-1.855729	
3233.563808	-1.855512	
3233.565389	-1.855770	
3233.567098	-1.855709	
3233.568653	-1.855717	
3233.570364	-1.855697	
3233.571909	-1.855733	
3233.573612	-1.855323	
3233.575146	-1.855790	
3233.576857	-1.855049	
3233.578361	-1.855198	
3233.580147	-1.855141	
3233.581627	-1.855230	
3233.583408	-1.852575	
3233.584890	-1.854573	
3233.586658	-1.835882	
3233.588146	-1.708317	
3233.589842	-1.838480	
3233.591338	-1.562605	
3233.592990	-1.657415	
3233.594529	-1.450484	
3233.596169	-1.515759	
3233.597717	-1.312817	
3233.599334	-1.439846	
3233.600905	-1.172611	
3233.602482	-1.239876	
3233.604088	-1.025295	
3233.605634	-1.101938	
3233.607290	-0.883804	
3233.608765	-0.937196	
3233.610477	-0.795278	
3233.611954	-0.789667	
3233.613686	-0.685104	
3233.615163	-0.630580	
3233.616881	-0.574216	
3233.618360	-0.450079	
3233.620048	-0.471184	
3233.621538	-0.300326	
3233.623147	-0.278582	
3233.624672	-0.120506	
3233.626238	-0.171610	
3233.627784	-0.036246	
3233.629305	-0.048653	
3233.630934	0.095951	
3233.632425	0.094304	
3233.634049	0.202323	
3233.635565	0.333413	
3233.637182	0.304534	
3233.638667	0.412517	
3233.640305	0.357458	
3233.641803	0.557617	
3233.643433	0.559313	
3233.644940	0.709235	
3233.646565	0.696369	
3233.648057	0.880922	
3233.649646	0.769330	
3233.651166	0.980240	
3233.652717	0.985812	
3233.654315	1.127508	
3233.655816	1.157793	
3233.657459	1.245997	
3233.658971	1.326233	
3233.660607	1.351712	
3233.662096	1.396068	
3233.663657	1.396124	
3233.665158	1.396817	
3233.666734	1.396660	
3233.668218	1.396829	
3233.669751	1.396889	
3233.671311	1.396793	
3233.672806	1.396849	
3233.674393	1.396825	
3233.675890	1.396886	
3233.677466	1.396970	
3233.678995	1.396950	
3233.680566	1.396841	
3233.682075	1.396853	
3233.683627	1.396982	
3233.685138	1.396966	
3233.686685	1.396906	
3233.688181	1.396926	
3233.689681	1.396881	
3233.691259	1.396869	
3233.692755	1.396837	
3233.694336	1.396966	
3233.695825	1.396914	
3233.697388	1.397051	
3233.698905	1.396926	
3233.700425	1.396877	
3233.701995	1.396978	
3233.703498	1.396861	
3233.705086	1.396946	
3233.706565	1.396894	
3233.708164	1.396938	
3233.709662	1.396825	
3233.711244	1.396978	
3233.712738	1.396954	
3233.714313	1.396926	
3233.715827	1.396930	
3233.717355	1.396986	
3233.718905	1.396942	
3233.720422	1.397010	
3233.722002	1.396873	
3233.723491	1.396986	
3233.725058	1.397018	
3233.726589	1.396934	
3233.728183	1.396986	
3233.729680	1.396789	
3233.731233	1.397055	
3233.732748	1.396978	
3233.734318	1.397095	
3233.735837	1.396974	
3233.737360	1.397022	
3233.738910	1.396837	
3233.740415	1.396910	
3233.741998	1.396849	
3233.743496	1.396886	
3233.745060	1.396885	
3233.746581	1.396881	
3233.748114	1.396978	
3233.749653	1.396769	
3233.751190	1.396825	
3233.752737	1.396906	
3233.754260	1.396853	
3233.755819	1.396930	
3233.757342	1.396934	
3233.758923	1.396918	
3233.760414	1.397035	
3233.761995	1.396849	
3233.763513	1.396873	
3233.765059	1.396994	
3233.766589	1.396881	
3233.768142	1.396885	
3233.769678	1.396994	
3233.771198	1.396881	
3233.772771	1.396837	
3233.774289	1.396990	
3233.775874	1.396938	
3233.777369	1.396994	
3233.778947	1.396861	
3233.780468	1.396886	
3233.782052	1.397014	
3233.783538	1.396865	
3233.785108	1.396966	
3233.786626	1.397018	
3233.788157	1.396833	
3233.789726	1.396958	
3233.791246	1.396958	
3233.792833	1.396837	
3233.794313	1.396954	
3233.795907	1.397002	
3233.797414	1.397006	
3233.799001	1.397002	
3233.800500	1.396773	
3233.802073	1.396914	
3233.803584	1.396845	
3233.805168	1.397067	
3233.806882	1.396966	
3233.808403	1.396998	
3233.810155	1.396910	
3233.811641	1.396970	
3233.813407	1.396950	
3233.814893	1.396898	
3233.816672	1.396934	
3233.818160	1.397087	
3233.819939	1.397071	
3233.821416	1.396962	
3233.823199	1.397184	
3233.824683	1.396998	
3233.826451	1.396942	
3233.827952	1.397083	
3233.829698	1.397046	
3233.831215	1.396865	
3233.832925	1.397075	
3233.834465	1.396873	
3233.836186	1.397115	
3233.837721	1.396886	
3233.839404	1.397030	
3233.840961	1.396901	
3233.842639	1.397147	
3233.844218	1.396845	
3233.845890	1.397103	
3233.847494	1.396869	
3233.849145	1.397156	
3233.850738	1.396865	
3233.852364	1.397155	
3233.853975	1.396878	
3233.855498	1.396998	
3233.857168	1.396837	
3233.858649	1.396942	
3233.860365	1.396966	
3233.861837	1.396914	
3233.863562	1.396914	
3233.865042	1.396934	
3233.866739	1.397018	
3233.868223	1.397043	
3233.869919	1.396990	
3233.871413	1.396938	
3233.873092	1.397063	
3233.874611	1.396785	
3233.876247	1.397002	
3233.877793	1.396970	
3233.879433	1.397111	
3233.880981	1.396837	
3233.882562	1.396954	
3233.884144	1.396934	
3233.885701	1.397099	
3233.887304	1.396902	
3233.888824	1.397002	
3233.890500	1.396934	
3233.891985	1.396813	
3233.893615	1.397075	
3233.895090	1.396881	
3233.896724	1.396962	
3233.898201	1.396934	
3233.899838	1.396978	
3233.901325	1.396902	
3233.902891	1.396902	
3233.904429	1.396926	
3233.905950	1.396906	
3233.907579	1.396740	
3233.909062	1.396881	
3233.910684	1.396926	
3233.912200	1.396825	
3233.913839	1.396885	
3233.915323	1.396753	
3233.916969	1.396809	
