crossing time (s)	slope (V/s)	crossing number
6842.384860	25.694158	10621
6843.410785	23.702389	10622
6844.393491	22.564312	10623
6845.451935	20.547771	10624
6846.449347	22.355058	10625
6847.526933	23.052814	10626
6848.005137	-2.511295	10627
6848.514808	22.528958	10628
6849.516547	19.605756	10629
6850.541285	19.078267	10630
6851.567004	22.097856	10631
6852.605127	21.281864	10632
6853.622678	19.143195	10633
6854.633068	18.411281	10634
6855.702905	19.020055	10635
6856.734215	18.218452	10636
6857.188341	-4.590911	10637
6857.747602	14.658157	10638
6858.765062	17.420286	10639
6859.781417	17.352840	10640
6860.800210	15.321437	10641
6861.788360	19.517785	10642
6862.842270	14.614583	10643
6863.836663	14.345236	10644
6864.866739	14.739096	10645
6865.922338	16.482831	10646
6866.969591	15.425911	10647
6867.937891	15.486833	10648
6869.000745	12.658871	10649
6869.979680	15.032440	10650
6871.017700	11.727106	10651
6872.035143	15.315515	10652
6873.090937	13.675257	10653
6873.575871	-3.800560	10654
6874.127056	11.960535	10655
6875.075324	13.428004	10656
6876.125630	14.254527	10657
6877.130117	12.260995	10658
6878.154498	13.937317	10659
6879.187215	11.642847	10660
6880.196724	10.158749	10661
6881.280319	10.808513	10662
6882.281134	12.903072	10663
6883.316021	10.132273	10664
6884.294309	11.374328	10665
6885.374485	10.728572	10666
6886.299876	9.874968	10667
6887.432136	5.440554	10668
6888.401253	8.550559	10669
6889.444130	10.341992	10670
6890.433922	11.083750	10671
6891.480040	9.725922	10672
6891.897816	-3.619526	10673
6892.499021	9.175919	10674
6893.510000	9.183826	10675
6894.525346	8.994115	10676
6895.582656	9.752504	10677
6896.536331	9.761269	10678
6897.624678	9.370815	10679
6898.139223	-10.563705	10680
6898.629512	9.312657	10681
6899.637551	9.332753	10682
6900.677213	6.702636	10683
6901.720456	8.854208	10684
6902.162566	-4.204700	10685
6902.708421	10.078730	10686
6903.765358	8.407510	10687
6904.731237	6.446083	10688
6905.252184	-10.198271	10689
6905.757816	3.901921	10690
6906.752100	9.967263	10691
6907.847797	7.075285	10692
6908.832578	7.098887	10693
6909.334063	-4.897159	10694
6909.905403	8.549386	10695
6910.898420	8.546706	10696
6911.923473	7.020793	10697
6912.942450	6.049725	10698
6913.994879	7.385951	10699
6914.435617	-3.351234	10700
6914.969212	6.174920	10701
6916.021020	6.502740	10702
6917.034774	7.778659	10703
6918.078079	7.108786	10704
6919.075504	5.295961	10705
6920.099970	5.283865	10706
