time (s)	det(V)
6843.254752	-1.855701	
6843.256284	-1.855604	
6843.257882	-1.855492	
6843.259376	-1.855508	
6843.260928	-1.855443	
6843.262454	-1.855661	
6843.264024	-1.855617	
6843.265725	-1.855516	
6843.267211	-1.855677	
6843.268983	-1.855202	
6843.270457	-1.855512	
6843.272230	-1.855323	
6843.273707	-1.855576	
6843.275431	-1.854416	
6843.276936	-1.855500	
6843.278657	-1.855532	
6843.280179	-1.855468	
6843.281865	-1.855790	
6843.283406	-1.855476	
6843.285104	-1.855423	
6843.286656	-1.855117	
6843.288333	-1.855532	
6843.289894	-1.854859	
6843.291549	-1.855762	
6843.293151	-1.855407	
6843.294785	-1.855617	
6843.296387	-1.855032	
6843.297988	-1.855725	
6843.299620	-1.852567	
6843.301243	-1.855645	
6843.302880	-1.852934	
6843.304473	-1.855729	
6843.306132	-1.853167	
6843.307716	-1.853896	
6843.309416	-1.837284	
6843.310967	-1.855045	
6843.312678	-1.847721	
6843.314210	-1.854614	
6843.315905	-1.843818	
6843.317431	-1.781193	
6843.319130	-1.821134	
6843.320624	-1.816002	
6843.322406	-1.714545	
6843.323883	-1.702166	
6843.325667	-1.743106	
6843.327149	-1.688228	
6843.328839	-1.764142	
6843.330327	-1.543506	
6843.332009	-1.698782	
6843.333524	-1.477676	
6843.335164	-1.631324	
6843.336713	-1.538205	
6843.338320	-1.585260	
6843.339911	-1.351738	
6843.341477	-1.469583	
6843.343101	-1.381064	
6843.344650	-1.371400	
6843.346293	-1.282564	
6843.347791	-1.420143	
6843.349480	-1.224226	
6843.350963	-1.284062	
6843.352664	-1.254483	
6843.354132	-1.159188	
6843.355862	-1.164732	
6843.357344	-1.098341	
6843.359031	-1.105157	
6843.360507	-0.962127	
6843.362129	-1.097656	
6843.363638	-0.891406	
6843.365210	-1.052313	
6843.366758	-0.881194	
6843.368268	-0.937333	
6843.369881	-0.832198	
6843.371377	-0.809027	
6843.373011	-0.808342	
6843.374531	-0.729081	
6843.376165	-0.750415	
6843.377639	-0.657598	
6843.379280	-0.722660	
6843.380765	-0.619434	
6843.382410	-0.683915	
6843.383901	-0.542211	
6843.385514	-0.560661	
6843.387025	-0.460311	
6843.388595	-0.459256	
6843.390159	-0.365340	
6843.391690	-0.457278	
6843.393293	-0.291537	
6843.394783	-0.334076	
6843.396427	-0.253272	
6843.397929	-0.224481	
6843.399569	-0.142823	
6843.401043	0.017343	
6843.402606	-0.073633	
6843.404094	0.025166	
6843.405640	0.073631	
6843.407156	0.083190	
6843.408657	0.020191	
6843.410245	0.075564	
