time (s)	det(V)
7316.014175	-0.619172	
7316.015806	-0.509030	
7316.017344	-0.613601	
7316.019019	-0.557857	
7316.020518	-0.604005	
7316.022220	-0.610088	
7316.023692	-0.641811	
7316.025399	-0.503479	
7316.026869	-0.570872	
7316.028565	-0.720927	
7316.030051	-0.627116	
7316.031757	-0.712415	
7316.033250	-0.594954	
7316.034953	-0.769050	
7316.036440	-0.596505	
7316.038107	-0.767313	
7316.039616	-0.684705	
7316.041162	-0.712830	
7316.042760	-0.704371	
7316.044254	-0.689422	
7316.045895	-0.690304	
7316.047385	-0.696512	
7316.049001	-0.637916	
7316.050517	-0.722083	
7316.052153	-0.756796	
7316.053626	-0.746306	
7316.055260	-0.870414	
7316.056742	-0.805796	
7316.058366	-0.846011	
7316.059848	-0.757464	
7316.061455	-0.906375	
7316.062967	-0.777481	
7316.064523	-0.881706	
7316.066110	-0.822437	
7316.067589	-0.927911	
7316.069245	-0.885500	
7316.070729	-0.924281	
7316.072358	-0.953881	
7316.073878	-0.880388	
7316.075510	-1.019176	
7316.076983	-0.899370	
7316.078556	-0.959638	
7316.080049	-0.985121	
7316.081599	-1.004340	
7316.083118	-1.006902	
7316.084617	-1.033199	
7316.086182	-1.018693	
7316.087704	-1.053231	
7316.089291	-1.058577	
7316.090794	-1.010644	
7316.092360	-1.075818	
7316.093873	-1.045255	
7316.095445	-1.213414	
7316.096918	-1.084652	
7316.098481	-1.155551	
7316.099969	-1.164792	
7316.101503	-1.049932	
7316.103032	-1.142914	
7316.104530	-1.157315	
7316.106103	-1.187109	
7316.107597	-1.175080	
7316.109181	-1.207214	
7316.110683	-1.185163	
7316.112243	-1.312212	
7316.113754	-1.249415	
7316.115270	-1.249616	
7316.116847	-1.284187	
7316.118341	-1.311141	
7316.119924	-1.264561	
7316.121446	-1.331923	
7316.123036	-1.373463	
7316.124520	-1.253149	
7316.126074	-1.397335	
7316.127599	-1.345373	
7316.129159	-1.424312	
7316.130686	-1.377419	
7316.132199	-1.335597	
7316.133781	-1.455898	
7316.135263	-1.486381	
7316.136835	-1.448196	
7316.138352	-1.387248	
7316.139937	-1.487625	
7316.141435	-1.433090	
7316.142998	-1.561940	
7316.144519	-1.419772	
7316.146057	-1.514466	
7316.147576	-1.507054	
7316.149126	-1.627042	
7316.150668	-1.571342	
7316.152154	-1.540058	
7316.153712	-1.647586	
7316.155241	-1.549936	
7316.156838	-1.681871	
7316.158329	-1.591878	
7316.159885	-1.688558	
7316.161407	-1.580660	
7316.162967	-1.649918	
7316.164491	-1.637068	
7316.166050	-1.763227	
7316.167589	-1.778732	
7316.169076	-1.688627	
7316.170646	-1.732402	
7316.172169	-1.758474	
7316.173738	-1.837155	
7316.175242	-1.763493	
7316.176806	-1.812425	
7316.178319	-1.837038	
7316.179854	-1.851564	
7316.181381	-1.854021	
7316.182902	-1.841328	
7316.184488	-1.851334	
7316.185977	-1.841836	
7316.187554	-1.848301	
7316.189056	-1.851528	
7316.190633	-1.855053	
7316.192133	-1.852761	
7316.193704	-1.854771	
7316.195211	-1.848474	
7316.196776	-1.854908	
7316.198303	-1.854710	
7316.199835	-1.855576	
7316.201399	-1.855294	
7316.202885	-1.855536	
7316.204690	-1.855355	
7316.206218	-1.855045	
7316.207927	-1.855069	
7316.209453	-1.855331	
7316.211157	-1.855407	
7316.212715	-1.855230	
7316.214392	-1.855608	
7316.215968	-1.855480	
7316.217631	-1.855721	
7316.219210	-1.855375	
7316.220847	-1.855061	
7316.222458	-1.855387	
7316.224083	-1.855633	
7316.225703	-1.855415	
7316.227304	-1.855721	
7316.228960	-1.853836	
7316.230565	-1.855649	
7316.232221	-1.855254	
7316.233818	-1.855633	
7316.235493	-1.855032	
7316.237049	-1.855552	
7316.238757	-1.855588	
7316.240302	-1.855701	
7316.241997	-1.854642	
7316.243540	-1.855580	
7316.245238	-1.855464	
7316.246763	-1.855600	
7316.248502	-1.855508	
7316.249985	-1.855633	
7316.251752	-1.855564	
7316.253233	-1.855665	
7316.255013	-1.855500	
7316.256492	-1.855520	
7316.258267	-1.855246	
7316.259745	-1.855472	
7316.261505	-1.855520	
7316.263012	-1.855609	
7316.264741	-1.855681	
7316.266255	-1.855629	
7316.267893	-1.854863	
7316.269431	-1.855355	
7316.271048	-1.854839	
7316.272621	-1.855423	
7316.274191	-1.855399	
7316.275812	-1.855210	
7316.277352	-1.855605	
7316.278994	-1.855476	
7316.280487	-1.855496	
7316.282208	-1.855387	
7316.283688	-1.855407	
7316.285386	-1.854867	
7316.286861	-1.855323	
7316.288545	-1.855524	
7316.290025	-1.854968	
7316.291720	-1.855524	
7316.293215	-1.853671	
7316.294923	-1.855294	
7316.296404	-1.854630	
7316.298072	-1.854541	
7316.299585	-1.855069	
7316.301131	-1.854952	
7316.302707	-1.851713	
7316.304202	-1.854428	
7316.305839	-1.854190	
7316.307350	-1.813029	
7316.308995	-1.839596	
7316.310481	-1.817335	
7316.312107	-1.851701	
7316.313587	-1.825179	
7316.315225	-1.851266	
7316.316701	-1.678971	
7316.318336	-1.789895	
7316.319822	-1.645314	
7316.321440	-1.768182	
7316.322957	-1.642079	
7316.324531	-1.738791	
7316.326098	-1.644794	
7316.327593	-1.727645	
7316.329234	-1.631171	
7316.330718	-1.641991	
7316.332347	-1.622892	
7316.333872	-1.567253	
7316.335506	-1.579814	
7316.336976	-1.494006	
7316.338541	-1.470127	
7316.340027	-1.377387	
7316.341583	-1.465514	
7316.343100	-1.433384	
7316.344589	-1.349829	
7316.346153	-1.280477	
7316.347678	-1.363235	
7316.349271	-1.280308	
7316.350759	-1.181207	
7316.352333	-1.196108	
7316.353823	-1.084475	
7316.355401	-1.251240	
7316.356882	-1.171241	
7316.358461	-1.156639	
7316.359945	-1.070847	
7316.361499	-1.106732	
7316.363028	-1.013234	
7316.364526	-0.998716	
7316.366091	-0.997633	
7316.367616	-0.925780	
7316.369201	-0.845749	
7316.370696	-0.760647	
7316.372212	-0.778621	
7316.373779	-0.764063	
7316.375288	-0.758697	
7316.376858	-0.714184	
7316.378347	-0.640808	
7316.379953	-0.638633	
7316.381444	-0.581588	
7316.383015	-0.580988	
7316.384538	-0.450659	
7316.386125	-0.521695	
7316.387612	-0.436391	
7316.389160	-0.475732	
7316.390689	-0.430562	
7316.392198	-0.311360	
7316.393770	-0.329419	
7316.395252	-0.301346	
7316.396844	-0.323888	
7316.398333	-0.239882	
7316.399914	-0.221750	
7316.401412	-0.151375	
7316.402978	-0.092751	
7316.404472	-0.120107	
7316.406033	-0.024519	
7316.407552	-0.003121	
7316.409105	-0.018702	
7316.410647	0.064833	
7316.412143	0.121318	
7316.413704	0.138978	
7316.415238	0.171184	
7316.416832	0.171132	
7316.418323	0.212886	
7316.419877	0.273339	
7316.421392	0.315769	
7316.422950	0.341474	
7316.424463	0.334774	
7316.426013	0.407844	
7316.427566	0.464108	
7316.429063	0.429029	
7316.430636	0.474360	
7316.432156	0.597892	
7316.433739	0.474553	
7316.435238	0.622046	
7316.436798	0.568751	
7316.438324	0.616555	
7316.439857	0.676517	
7316.441394	0.766111	
7316.442925	0.712949	
7316.444485	0.750465	
7316.445978	0.808908	
7316.447542	0.860076	
7316.449068	0.861002	
7316.450652	0.863508	
7316.452148	0.939591	
7316.453701	0.999866	
7316.455222	0.995733	
7316.456768	1.091402	
7316.458293	1.100055	
7316.459810	1.030659	
7316.461379	1.110238	
7316.462888	1.136495	
