time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1577.343561	160.027191	0.864323	0.037421	117
1579.400752	160.102982	0.726101	0.033907	119
1581.458133	160.154449	0.609103	0.029097	121
1583.507738	160.225815	0.506717	0.024878	123
1585.565519	160.346924	0.421126	0.021042	125
1587.623033	160.271240	0.350777	0.017526	127
1589.666761	160.081009	0.289616	0.014760	129
1591.717730	159.932098	0.237777	0.012125	131
1593.809160	159.545441	0.199801	0.009907	133
1595.829853	158.810333	0.164626	0.008845	135
