time (s)	det(V)
2586.381644	-1.855218	
2586.383124	-1.854602	
2586.384764	-1.855427	
2586.386240	-1.854078	
2586.387841	-1.855721	
2586.389348	-1.855371	
2586.390914	-1.855496	
2586.392472	-1.855500	
2586.393972	-1.855488	
2586.395612	-1.855488	
2586.397095	-1.855572	
2586.398720	-1.855681	
2586.400240	-1.855536	
2586.401832	-1.855665	
2586.403312	-1.855617	
2586.404878	-1.855536	
2586.406374	-1.855725	
2586.407913	-1.855729	
2586.409455	-1.855842	
2586.410947	-1.855689	
2586.412503	-1.855532	
2586.414032	-1.855766	
2586.415610	-1.855826	
2586.417115	-1.855673	
2586.418669	-1.855705	
2586.420172	-1.855798	
2586.421726	-1.855862	
2586.423215	-1.855774	
2586.424779	-1.855762	
2586.426278	-1.855737	
2586.427809	-1.855822	
2586.429369	-1.855830	
2586.430867	-1.855734	
2586.432439	-1.855870	
2586.433943	-1.855762	
2586.435533	-1.855701	
2586.437047	-1.855754	
2586.438614	-1.855814	
2586.440124	-1.855814	
2586.441643	-1.855733	
2586.443214	-1.855746	
2586.444706	-1.855834	
2586.446286	-1.855842	
2586.447824	-1.855766	
2586.449414	-1.855826	
2586.450909	-1.855798	
2586.452469	-1.855721	
2586.453990	-1.855766	
2586.455539	-1.855721	
2586.457069	-1.855802	
2586.458610	-1.855891	
2586.460170	-1.855766	
2586.461664	-1.855802	
2586.463240	-1.855693	
2586.464758	-1.855701	
2586.466339	-1.855766	
2586.467827	-1.855850	
2586.469393	-1.855774	
2586.470918	-1.855838	
2586.472477	-1.855798	
2586.474003	-1.855818	
2586.475559	-1.855862	
2586.477090	-1.855834	
2586.478612	-1.855766	
2586.480167	-1.855814	
2586.481687	-1.855919	
2586.483282	-1.855798	
2586.484780	-1.855830	
2586.486332	-1.855790	
2586.487845	-1.855822	
2586.489398	-1.855770	
2586.490922	-1.855838	
2586.492477	-1.855774	
2586.494006	-1.855818	
2586.495543	-1.855701	
2586.497091	-1.855794	
2586.498598	-1.855830	
2586.500186	-1.855810	
2586.501695	-1.855955	
2586.503274	-1.855931	
2586.504777	-1.855874	
2586.506321	-1.855846	
2586.507861	-1.855842	
2586.509434	-1.855749	
2586.510957	-1.855782	
2586.512486	-1.855895	
2586.514049	-1.855681	
2586.515545	-1.855898	
2586.517140	-1.855741	
2586.518638	-1.855842	
2586.520221	-1.855762	
2586.521731	-1.855818	
2586.523293	-1.855778	
2586.524812	-1.855749	
2586.526346	-1.855830	
2586.527888	-1.855858	
2586.529396	-1.855838	
2586.530953	-1.855746	
2586.532487	-1.855810	
2586.534070	-1.855802	
2586.535562	-1.855878	
2586.537132	-1.855882	
2586.538647	-1.855854	
2586.540317	-1.855697	
2586.541982	-1.855657	
2586.543560	-1.855729	
2586.545228	-1.855758	
2586.546826	-1.855733	
2586.548491	-1.855798	
2586.550052	-1.855838	
2586.551756	-1.855790	
2586.553295	-1.855814	
2586.554999	-1.855705	
2586.556535	-1.855749	
2586.558242	-1.855657	
2586.559737	-1.855665	
2586.561486	-1.855693	
2586.562970	-1.855806	
2586.564729	-1.855790	
2586.566216	-1.855709	
2586.568005	-1.855713	
2586.569487	-1.855737	
2586.571259	-1.855649	
2586.572747	-1.855629	
2586.574495	-1.855665	
2586.576002	-1.855653	
2586.577727	-1.855778	
2586.579250	-1.855701	
2586.580964	-1.855653	
2586.582496	-1.855806	
2586.584190	-1.855661	
2586.585747	-1.855645	
2586.587435	-1.855588	
2586.589000	-1.855701	
2586.590666	-1.855500	
2586.592245	-1.855383	
2586.593875	-1.855689	
2586.595467	-1.855556	
