time (s)	det(V)
3514.248800	0.384037	
3514.250286	0.457094	
3514.251826	0.413149	
3514.253356	0.433134	
3514.254849	0.473691	
3514.256411	0.437948	
3514.257931	0.460535	
3514.259521	0.356354	
3514.261020	0.423039	
3514.262558	0.447003	
3514.264105	0.428542	
3514.265674	0.379191	
3514.267176	0.417838	
3514.268670	0.342831	
3514.270264	0.271534	
3514.271767	0.346271	
3514.273331	0.251271	
3514.274857	0.330972	
3514.276433	0.231867	
3514.277936	0.277025	
3514.279504	0.270136	
3514.281037	0.234163	
3514.282586	0.138160	
3514.284118	0.273939	
3514.285603	0.226646	
3514.287235	0.175829	
3514.288729	0.262406	
3514.290294	0.271099	
3514.291818	0.199846	
3514.293412	0.150523	
3514.294908	0.168385	
3514.296468	0.109495	
3514.297997	0.184196	
3514.299555	0.074734	
3514.301099	0.176663	
3514.302619	0.123799	
3514.304187	0.088689	
3514.305699	0.078501	
3514.307281	0.056893	
3514.308776	0.094501	
3514.310387	0.103988	
3514.311876	0.126277	
3514.313439	0.058770	
3514.314961	0.123481	
3514.316530	0.100806	
3514.318066	0.049799	
3514.319581	-0.019315	
3514.321149	0.043591	
3514.322665	-0.009345	
3514.324249	0.025823	
3514.325732	0.042270	
3514.327334	0.033742	
3514.328820	0.051801	
3514.330425	-0.005119	
3514.331916	0.072813	
3514.333469	-0.087547	
3514.334992	0.056136	
3514.336520	-0.016531	
3514.338067	-0.019504	
3514.339598	0.067790	
3514.341163	-0.025240	
3514.342650	-0.013953	
3514.344217	0.048083	
3514.345743	0.030745	
3514.347351	-0.020830	
3514.348843	0.009733	
3514.350400	-0.110242	
3514.351924	0.006543	
3514.353485	-0.017405	
3514.355012	-0.054571	
3514.356540	-0.001433	
3514.358106	-0.000772	
3514.359619	0.008440	
3514.361196	-0.071542	
3514.362700	-0.006199	
3514.364393	-0.314260	
3514.365993	-0.042735	
3514.367632	-0.267556	
3514.369227	-0.034880	
3514.370842	-0.266605	
3514.372508	-0.089665	
3514.374081	-0.264837	
3514.375746	-0.121199	
3514.377327	-0.255137	
3514.379029	-0.062289	
3514.380591	-0.273248	
3514.382277	-0.161414	
3514.383831	-0.207051	
3514.385517	-0.167388	
3514.387049	-0.238830	
3514.388775	-0.204102	
3514.390285	-0.252820	
3514.392031	-0.214084	
3514.393516	-0.225887	
3514.395291	-0.235382	
3514.396775	-0.244417	
3514.398531	-0.283287	
3514.400022	-0.222451	
3514.401778	-0.338052	
3514.403274	-0.194744	
3514.405018	-0.390521	
3514.406532	-0.198265	
3514.408278	-0.423142	
3514.409809	-0.189028	
3514.411517	-0.468767	
3514.413050	-0.291085	
3514.414773	-0.465194	
3514.416319	-0.258577	
3514.418003	-0.493408	
3514.419566	-0.284072	
3514.421243	-0.564641	
3514.422809	-0.332110	
3514.424471	-0.579960	
3514.426056	-0.354391	
3514.427679	-0.592476	
3514.429298	-0.396970	
3514.430822	-0.538207	
3514.432496	-0.486197	
3514.433975	-0.457105	
3514.435687	-0.551698	
3514.437171	-0.530698	
3514.438879	-0.550646	
3514.440371	-0.492429	
3514.442106	-0.610612	
3514.443593	-0.527367	
3514.445279	-0.665131	
3514.446766	-0.541591	
3514.448471	-0.669369	
3514.449955	-0.558844	
3514.451609	-0.738406	
3514.453134	-0.571175	
3514.454756	-0.786150	
3514.456304	-0.584645	
