crossing time (s)	slope (V/s)	crossing number
3513.827765	43.064747	5285
3514.788520	39.492289	5286
3515.915571	37.968988	5287
3516.868287	39.431216	5288
3517.382203	-0.665581	5289
3517.879526	37.241377	5290
3518.952658	32.179897	5291
3519.978612	29.808576	5292
3520.984735	27.767365	5293
3522.080349	27.464430	5294
3522.961692	25.323213	5295
3524.079650	20.561160	5296
3525.067385	27.073270	5297
3526.174928	25.712638	5298
3526.612008	-9.331319	5299
3527.109780	19.880466	5300
3528.237137	21.542542	5301
3529.172610	17.730153	5302
3530.289455	18.417062	5303
3531.216014	18.383409	5304
3532.342882	17.318916	5305
3533.269404	13.772357	5306
3534.337690	13.454448	5307
3535.331897	13.346085	5308
3536.417696	11.815532	5309
3537.376444	13.247163	5310
3537.884574	-4.139486	5311
3538.476855	11.966423	5312
3539.434466	11.625918	5313
3540.499403	8.563403	5314
3541.467882	9.769128	5315
3542.536533	6.777211	5316
3543.530367	8.933538	5317
3544.022429	-5.631528	5318
3544.594213	6.931539	5319
3545.533047	7.773294	5320
3546.638095	6.433595	5321
3547.616900	6.801726	5322
3548.723753	5.965728	5323
3549.666001	7.759179	5324
3550.808125	6.204298	5325
3551.699086	4.110202	5326
3552.828485	5.020678	5327
