time (s)	magX	magY	magZ
2026.870998	-259.233795	107.511398	-126.635300
2026.874330	-259.526031	107.452950	-127.161301
2026.877660	-259.818237	107.920517	-128.037994
2026.880994	-260.694916	108.504967	-128.739334
2026.884777	-261.513153	107.862061	-129.966675
2026.888138	-261.922272	108.680298	-130.258911
2026.891462	-262.272949	108.738747	-131.603165
2026.894759	-263.967865	109.206314	-133.005844
2026.898091	-264.435455	109.323196	-134.350082
2026.901418	-265.078339	109.264755	-135.402100
2026.904753	-265.954987	110.492111	-136.103439
2026.908089	-266.422577	110.316772	-137.564575
2026.911439	-267.591492	110.316772	-138.265930
2026.915193	-267.883698	110.433662	-138.791931
2026.918573	-268.701935	110.842781	-140.311508
2026.921954	-269.637054	110.784340	-140.954407
2026.925183	-270.338409	111.661018	-142.240204
2026.928510	-271.390411	112.011688	-143.818237
2026.931857	-272.325531	112.011688	-145.571594
2026.935190	-273.845123	112.713028	-146.798950
2026.938528	-274.254242	113.122154	-148.201630
2026.941902	-275.364716	113.531265	-150.247223
2026.945233	-276.767395	114.641731	-151.299240
2026.948574	-277.644073	115.050842	-152.877258
2026.952278	-278.754547	114.992401	-154.689056
2026.955644	-279.865021	115.635300	-156.267090
2026.959025	-280.975464	116.687317	-158.312683
2026.962334	-282.553497	117.505547	-160.007599
2026.965724	-283.605499	117.739326	-162.053177
2026.969010	-285.241974	118.499123	-164.274109
2026.972337	-286.118652	119.726479	-166.670364
2026.975635	-287.404449	120.486267	-169.767960
2026.979000	-289.040924	121.479836	-171.871994
2026.982341	-290.151398	121.772064	-173.566910
2026.985677	-291.203400	122.239624	-176.664520
2026.989402	-293.541229	123.583870	-179.645233
2026.992758	-294.885437	124.635887	-183.268845
2026.996040	-296.171265	125.220337	-186.132675
2026.999357	-298.450623	126.330795	-189.405609
2027.002641	-299.561066	127.324371	-192.269440
2027.005939	-301.723572	127.558151	-195.659256
2027.009710	-303.360046	128.610168	-199.516647
2027.012980	-305.171844	128.902405	-202.964920
2027.016292	-306.749878	129.837524	-206.939209
2027.019612	-308.970795	130.889542	-210.971939
2027.022877	-311.074799	131.707764	-214.069550
2027.026262	-313.003510	132.409119	-218.277603
2027.029581	-315.107544	133.578033	-222.485672
2027.032927	-316.919342	133.519577	-226.284637
2027.036655	-318.906494	134.863831	-231.252487
2027.039944	-321.185852	135.389832	-235.694321
2027.043244	-323.406799	136.324951	-239.902390
2027.046509	-325.218597	137.026306	-244.344254
2027.049849	-327.030396	137.786087	-249.604340
2027.053560	-328.725311	138.838104	-253.227936
2027.056799	-331.355377	139.656342	-258.078918
2027.060116	-333.284058	140.299240	-263.163666
2027.063379	-335.329620	141.351257	-267.254822
2027.067156	-337.024567	142.286377	-272.982483
2027.070438	-339.011688	142.520172	-278.710144
2027.073719	-340.940399	143.630615	-284.087097
2027.077032	-343.044434	144.916412	-289.639404
2027.080312	-344.914673	145.734650	-295.717712
2027.084062	-346.551147	146.436005	-301.445374
2027.087637	-349.064301	146.728241	-307.640594
2027.090980	-350.700775	148.306244	-313.426666
2027.094303	-352.278778	149.416718	-319.446533
2027.097684	-354.032166	150.293396	-326.459991
2027.100972	-356.194641	151.345413	-333.181183
2027.104306	-357.480438	151.929871	-339.902405
2027.107646	-359.526031	153.040329	-347.266510
2027.110973	-360.519592	154.793686	-354.338409
2027.114301	-363.091187	154.618347	-361.468750
2027.117634	-364.201660	155.553467	-369.241974
2027.120974	-365.312103	156.137939	-377.190552
2027.124336	-367.533020	157.423737	-386.541809
2027.128056	-367.883698	158.826416	-393.321472
2027.131395	-369.929260	159.235535	-402.205170
2027.134722	-371.156647	159.819992	-410.796631
2027.138089	-372.267120	159.936874	-420.323242
2027.141415	-373.202240	160.755112	-430.025146
2027.144744	-374.020477	160.755112	-440.194672
2027.148114	-375.189362	161.164230	-449.019867
2027.151392	-376.708954	161.631790	-458.546509
2027.154761	-377.936310	162.099365	-468.540619
2027.158493	-378.170074	161.748688	-478.710144
2027.161830	-378.403870	162.040909	-489.931641
2027.165164	-378.812988	161.748688	-501.094666
2027.168568	-378.812988	161.514908	-511.439514
2027.171902	-379.280518	160.755112	-522.368774
2027.175211	-379.222107	160.404434	-533.414978
2027.178500	-379.163666	160.287552	-544.344177
2027.181816	-378.228516	159.527756	-555.156616
2027.185148	-377.644073	158.826416	-567.137939
2027.188504	-376.884277	158.066620	-578.710083
2027.191834	-376.358276	157.599060	-589.931580
2027.195217	-374.663361	156.839279	-601.386902
2027.198576	-373.377563	156.021042	-613.251282
2027.202236	-370.981323	154.209229	-624.589722
2027.205597	-369.461731	153.507904	-636.921692
2027.208910	-366.890137	151.754517	-648.669189
2027.212320	-365.019897	150.410278	-660.124451
2027.215700	-362.272949	148.773819	-672.164246
2027.219021	-359.584473	147.195801	-684.437744
2027.222311	-356.603760	146.202209	-696.185303
2027.225651	-353.681488	144.448853	-708.224976
2027.229410	-349.473419	143.046173	-720.206299
2027.232653	-345.440674	141.585037	-731.427795
2027.235946	-340.881958	139.247223	-743.818237
2027.239224	-336.147888	136.792511	-756.734619
2027.242529	-331.706024	134.688477	-768.540588
2027.246341	-326.270599	132.467560	-781.106323
2027.249650	-320.601410	130.129745	-793.438293
2027.252991	-314.406219	127.207481	-805.244263
2027.256261	-307.801880	124.869667	-817.576294
2027.259568	-301.489777	121.713615	-829.849792
2027.262892	-294.534790	117.622437	-841.889526
2027.266196	-287.638245	114.933952	-854.396790
2027.269896	-279.689667	111.193451	-866.085876
2027.273195	-272.091766	107.862061	-877.541199
2027.276508	-264.084747	103.829346	-889.347168
2027.279844	-255.317947	99.621269	-900.685547
2027.283166	-246.200455	94.770309	-912.374634
2027.286496	-236.907669	90.854469	-922.485718
2027.289821	-227.965500	86.237289	-933.590271
2027.293121	-218.380478	81.853882	-943.701355
2027.296918	-208.327881	76.769135	-954.104614
2027.300195	-197.866150	71.567505	-964.274109
2027.303507	-188.047333	66.541199	-972.982483
2027.306795	-176.708923	61.105785	-982.450562
2027.310087	-166.481003	55.436584	-991.568054
2027.313469	-154.791931	50.176502	-999.633545
2027.317212	-143.570419	43.513733	-1007.231384
2027.320951	-131.589127	38.019871	-1013.718872
2027.324280	-120.016953	32.350670	-1020.615479
2027.327617	-108.737000	26.564581	-1027.219727
2027.330964	-96.463470	20.895382	-1032.713623
2027.334285	-84.073059	14.992403	-1038.441284
2027.337620	-71.624191	9.673874	-1042.766235
2027.340949	-59.993572	3.770893	-1047.149658
2027.344286	-47.544712	-2.073643	-1051.474609
2027.347615	-35.154293	-7.275280	-1053.403320
2027.350948	-22.296314	-13.645824	-1056.384033
2027.354321	-10.022797	-18.964355	-1057.436035
2027.357614	2.075394	-23.815315	-1058.721802
2027.360952	14.641148	-28.783165	-1060.358276
2027.364277	26.914671	-34.686150	-1060.475220
2027.367617	39.714203	-40.121567	-1059.832275
2027.370942	52.689072	-45.089424	-1059.481689
2027.374281	64.728813	-50.524841	-1057.669922
