time (s)	det(V)
2026.870419	-0.237098	
2026.871931	-0.095003	
2026.873638	-0.253968	
2026.875167	-0.077367	
2026.876878	-0.298067	
2026.878424	-0.063679	
2026.880129	-0.275907	
2026.881686	-0.063123	
2026.883359	-0.308862	
2026.884940	-0.031448	
2026.886521	-0.242641	
2026.888113	-0.151210	
2026.889652	-0.223905	
2026.891298	-0.063981	
2026.892776	-0.201923	
2026.894493	-0.120760	
2026.895972	-0.138235	
2026.897683	-0.177765	
2026.899158	-0.160918	
2026.900864	-0.189902	
2026.902348	-0.163815	
2026.904054	-0.265232	
2026.905540	-0.142561	
2026.907217	-0.256853	
2026.908720	-0.091917	
2026.910383	-0.335284	
2026.911908	-0.182788	
2026.913545	-0.300061	
2026.915079	-0.119463	
2026.916571	-0.222419	
2026.918226	-0.154417	
2026.919714	-0.197608	
2026.921338	-0.255149	
2026.922870	-0.166175	
2026.924491	-0.293926	
2026.925985	-0.164822	
2026.927626	-0.308673	
2026.929114	-0.152064	
2026.930757	-0.295452	
2026.932238	-0.153345	
2026.933858	-0.307606	
2026.935351	-0.171259	
2026.936949	-0.338616	
2026.938494	-0.169342	
2026.940027	-0.310119	
2026.941638	-0.203079	
2026.943132	-0.304214	
2026.944769	-0.265916	
2026.946288	-0.265240	
2026.947940	-0.336348	
2026.949424	-0.267508	
2026.951071	-0.282332	
2026.952547	-0.231905	
2026.954117	-0.326736	
2026.955603	-0.287347	
2026.957145	-0.257896	
2026.958691	-0.326913	
2026.960191	-0.326241	
2026.961767	-0.388551	
2026.963295	-0.364836	
2026.964894	-0.372796	
2026.966376	-0.328726	
2026.967951	-0.428024	
2026.969435	-0.337798	
2026.971000	-0.460376	
2026.972492	-0.388212	
2026.974048	-0.506492	
2026.975538	-0.439400	
2026.977060	-0.459240	
2026.978608	-0.419025	
2026.980107	-0.412523	
2026.981697	-0.541139	
2026.983199	-0.475421	
2026.984783	-0.540777	
2026.986304	-0.553224	
2026.987866	-0.623724	
2026.989358	-0.537353	
2026.990880	-0.562123	
2026.992459	-0.605021	
2026.993951	-0.576109	
2026.995516	-0.612549	
2026.997039	-0.621388	
2026.998621	-0.669860	
2027.000118	-0.607397	
2027.001678	-0.702824	
2027.003207	-0.681877	
2027.004776	-0.757923	
2027.006306	-0.693362	
2027.007830	-0.764224	
2027.009407	-0.744642	
2027.010900	-0.741754	
2027.012485	-0.745939	
2027.014007	-0.761134	
2027.015598	-0.845378	
2027.017099	-0.798420	
2027.018668	-0.936914	
2027.020190	-0.779922	
2027.021755	-0.891184	
2027.023288	-0.892784	
2027.024842	-0.982257	
2027.026403	-0.976536	
2027.027920	-0.932918	
