time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2026.320178	156.316330	0.931429	-0.014535	17
2028.375488	156.267014	0.839726	-0.013819	19
2030.427062	156.257675	0.753384	-0.012828	21
2032.475227	156.181213	0.671850	-0.012075	23
2034.524535	156.125046	0.601848	-0.011073	25
2036.579515	155.988190	0.534031	-0.010176	27
2038.621865	155.678467	0.472116	-0.009374	29
2040.671584	155.411209	0.418778	-0.008500	31
2042.722619	155.465042	0.371291	-0.007323	33
2044.784106	155.751541	0.329371	-0.006467	35
2046.831679	156.023834	0.293244	-0.005990	37
2048.911936	156.129303	0.260644	-0.005517	39
2050.939176	156.006775	0.231954	-0.005085	41
2053.011583	169.011810	0.127218	-0.029706	43
2054.025236	329.369904	0.133029	-0.017430	45
