crossing time (s)	slope (V/s)	crossing number
1714.578964	64.935073	1958
1715.666526	47.895756	1959
1716.637582	41.804076	1960
1717.637273	35.541948	1961
1718.659968	30.350297	1962
1719.722559	24.945151	1963
1720.756368	21.787754	1964
1721.798401	16.373038	1965
1722.806963	14.793842	1966
1723.831524	12.112495	1967
1724.862163	10.990381	1968
1725.919238	8.996542	1969
1726.921492	7.606211	1970
1727.890757	8.370005	1971
1728.417589	-4.027916	1972
1728.891071	5.892103	1973
1730.052407	6.418632	1974
1731.003574	3.678507	1975
1732.079830	-2.091290	1976
1733.051354	4.753322	1977
1734.041059	3.103125	1978
