time (s)	det(V)
1715.120399	-0.092816	
1715.121909	-0.092957	
1715.123509	-0.096385	
1715.124997	-0.013546	
1715.126557	-0.048383	
1715.128075	0.020219	
1715.129639	-0.100715	
1715.131167	-0.033108	
1715.132721	-0.086527	
1715.134274	-0.063872	
1715.135765	-0.163283	
1715.137341	-0.137002	
1715.138870	-0.042224	
1715.140468	-0.114319	
1715.141962	0.023917	
1715.143522	-0.029680	
1715.145037	-0.044589	
1715.146602	-0.066394	
1715.148117	-0.029531	
1715.149670	-0.144777	
1715.151205	-0.064968	
1715.152744	-0.064597	
1715.154289	-0.034820	
1715.155814	-0.021615	
1715.157392	-0.050168	
1715.158898	-0.014090	
1715.160488	-0.135532	
1715.162004	-0.065451	
1715.163551	-0.053576	
1715.165077	-0.045451	
1715.166628	-0.085544	
1715.168160	-0.063183	
1715.169690	-0.138662	
1715.171238	-0.085826	
1715.172780	-0.059074	
1715.174345	-0.156467	
1715.175846	-0.050522	
1715.177408	-0.113155	
1715.178935	-0.127882	
1715.180545	-0.358306	
1715.182242	-0.196794	
1715.183794	-0.244583	
1715.185480	-0.276334	
1715.187031	-0.268720	
1715.188748	-0.311126	
1715.190282	-0.310466	
1715.192010	-0.279762	
1715.193498	-0.321822	
1715.195265	-0.356562	
1715.196759	-0.293079	
1715.198527	-0.426207	
1715.200015	-0.367841	
1715.201788	-0.412850	
1715.203278	-0.413683	
1715.205056	-0.489496	
1715.206550	-0.415766	
1715.208316	-0.551089	
1715.209818	-0.387209	
1715.211569	-0.557837	
1715.213086	-0.448125	
1715.214794	-0.599421	
1715.216325	-0.435726	
1715.218050	-0.659286	
1715.219603	-0.451304	
1715.221279	-0.664358	
1715.222834	-0.510476	
1715.224523	-0.740416	
1715.226106	-0.498673	
1715.227751	-0.790206	
1715.229338	-0.560536	
1715.230973	-0.798573	
1715.232578	-0.571134	
1715.234195	-0.819521	
1715.235813	-0.663073	
1715.237306	-0.728621	
1715.239009	-0.680435	
1715.240495	-0.747877	
1715.242197	-0.738374	
1715.243681	-0.747369	
1715.245395	-0.793776	
1715.246881	-0.721580	
1715.248575	-0.893944	
1715.250060	-0.751676	
1715.251761	-0.878866	
1715.253241	-0.744263	
1715.254898	-0.954812	
1715.256409	-0.825317	
1715.258056	-1.013399	
