time (s)	magX	magY	magZ
1715.120828	293.191711	-153.856232	-198.464630
1715.124185	293.717682	-153.447113	-199.107544
1715.127463	294.068390	-153.622437	-201.270004
1715.130807	294.302155	-154.206909	-200.510223
1715.134556	294.945038	-154.206909	-201.328461
1715.137870	295.412628	-155.551117	-202.731140
1715.141139	294.945038	-155.901825	-203.257156
1715.144427	295.471069	-156.427826	-203.549393
1715.147743	296.464630	-156.953827	-204.250732
1715.151038	296.113983	-157.421387	-205.010529
1715.154795	296.523071	-158.414978	-206.120987
1715.158055	296.932190	-158.064301	-206.646988
1715.161363	298.276459	-158.824066	-207.582123
1715.164670	298.744019	-159.350098	-208.926361
1715.168005	298.977783	-160.051422	-209.919937
1715.171304	299.562256	-160.811218	-210.562820
1715.174722	300.146698	-161.571014	-212.433090
1715.178429	300.438934	-161.512573	-213.368210
1715.182207	300.848022	-162.213898	-214.420212
1715.185496	301.374054	-162.798370	-216.173584
1715.188836	302.309174	-162.856812	-217.517822
1715.192165	303.887207	-163.850372	-219.914093
1715.195499	304.705414	-164.317963	-220.907654
1715.198829	305.582123	-164.727051	-223.245468
1715.202172	306.458771	-165.486847	-225.524841
1715.205499	307.510803	-165.662170	-226.927536
1715.208830	308.796600	-166.363525	-229.791336
1715.212166	309.907074	-167.064850	-232.479828
1715.215499	311.601959	-168.058441	-234.992996
1715.218832	312.478668	-168.701355	-238.324371
1715.222165	314.115143	-169.052002	-241.772644
1715.225520	315.985382	-169.694916	-245.396240
1715.228832	317.037384	-170.045593	-249.078308
1715.232168	318.966095	-170.980713	-252.234360
1715.235934	320.485687	-172.032715	-255.448853
1715.239255	322.472809	-172.967834	-259.364685
1715.242584	324.167725	-173.201630	-263.981873
1715.245924	325.804199	-174.487427	-267.254822
1715.249272	327.089996	-175.656342	-271.872009
1715.252584	328.492676	-176.240784	-276.313843
1715.255919	330.479828	-177.760376	-281.340179
1715.259249	331.882507	-178.578613	-285.372894
1715.262597	333.460541	-179.689087	-289.580963
1715.265944	335.798340	-180.565735	-294.139709
1715.269293	337.376373	-181.676208	-299.399780
1715.273013	338.545288	-182.026886	-304.133850
