time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2879.264433	150.817383	0.461871	0.027920	75
2881.300491	148.676239	0.436543	0.018788	77
2883.366746	151.195801	0.388816	0.023733	79
2885.406951	148.860031	0.370152	0.015993	81
2887.459660	149.983963	0.326751	0.020917	83
2889.522576	150.737183	0.310258	0.014154	85
2891.551570	148.995148	0.285305	0.014909	87
2893.601179	149.325760	0.258808	0.014542	89
2895.646559	150.006729	0.240788	0.012975	91
2897.710370	137.267197	0.145034	0.034123	93
2898.729255	339.968231	0.147391	0.027761	95
2900.753020	329.543488	0.198337	0.011010	97
2902.777953	333.149933	0.179189	0.011748	99
2904.820350	330.745972	0.159851	0.006299	101
2906.895505	327.492615	0.153896	0.008877	103
2908.395802	240.699066	0.003665	0.054380	105
