time (s)	magX	magY	magZ
6140.145247	-43.979542	-16.860313	-805.945618
6140.148517	-36.849216	-20.483932	-807.640503
6140.151827	-31.121563	-24.399765	-808.283447
6140.155550	-24.926357	-27.555817	-810.270569
6140.158813	-18.906487	-31.471657	-810.796570
6140.162104	-12.243717	-35.095261	-811.731689
6140.165402	-5.639393	-38.601990	-812.374634
6140.168712	0.964931	-42.108711	-812.666870
6140.172399	7.218586	-46.316772	-812.666870
6140.175712	13.589132	-49.648163	-812.549927
6140.179008	19.492111	-52.921097	-812.316223
6140.182289	27.206898	-56.661598	-811.907043
6140.185677	33.811222	-60.285217	-810.971924
6140.189391	39.597313	-64.084167	-810.329041
6140.192950	47.078320	-67.123329	-809.043213
6140.196299	53.565750	-70.922264	-807.348328
6140.199625	60.111633	-75.188774	-805.945618
6140.202960	67.358856	-78.052597	-802.672668
6140.206291	73.729401	-81.559319	-801.503784
6140.209624	79.749268	-85.007607	-799.049072
6140.212986	86.119812	-88.455879	-795.425476
6140.216290	92.139687	-91.611931	-793.321411
6140.219618	98.627121	-94.767967	-790.691406
6140.222949	104.763885	-97.748680	-787.360046
6140.226280	111.309753	-100.378731	-783.970215
6140.229616	117.095856	-103.534782	-780.463440
6140.232950	123.057281	-106.924599	-776.839844
6140.236279	128.668030	-109.379311	-771.813538
6140.239616	133.460556	-112.360023	-768.949707
6140.243394	138.954407	-115.165398	-765.033875
6140.246726	144.214493	-117.853889	-760.708923
6140.250056	149.240799	-120.600822	-755.974854
6140.253381	153.799530	-122.704842	-750.656311
6140.256748	158.825836	-124.984230	-746.214478
6140.260035	163.969025	-127.438927	-741.480408
6140.263378	168.527771	-129.952087	-736.278748
6140.266708	173.028061	-132.640564	-731.778442
6140.270038	177.236130	-134.569244	-725.933960
6140.273365	180.918182	-136.614838	-722.310303
6140.277202	185.126236	-138.601990	-716.582703
6140.280550	188.749863	-141.115143	-711.907043
6140.283824	192.548813	-142.985382	-706.120911
6140.287125	196.347763	-144.680298	-700.568665
6140.290455	200.263596	-147.076569	-693.964294
6140.293825	203.419647	-148.187012	-688.996460
6140.297153	206.867920	-149.940399	-683.210388
6140.300570	210.082413	-151.985962	-678.008789
6140.303873	213.355347	-153.914673	-671.521301
6140.307139	216.043839	-154.791351	-665.501404
6140.310911	218.966110	-156.077148	-659.423157
