time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5238.741247	332.504211	0.760897	-0.046094	9
5240.785412	332.299774	0.737605	-0.045399	11
5242.834828	332.377625	0.715547	-0.044029	13
5244.882161	332.673828	0.693641	-0.043578	15
5246.930601	345.141174	0.354395	-0.100000	17
5247.957615	134.622482	0.351262	-0.100000	19
5250.004443	152.742599	0.641154	-0.041657	21
5252.056018	152.779633	0.621767	-0.040917	23
5254.096319	152.661835	0.603687	-0.040055	25
5256.145935	152.626663	0.585614	-0.039278	27
5258.188866	152.591568	0.567060	-0.038522	29
5260.241529	152.520798	0.550500	-0.037704	31
5262.283859	152.385788	0.532201	-0.036810	33
5264.340120	173.007538	0.280921	-0.100000	35
5265.343226	314.007843	0.293401	-0.100000	37
5267.397166	332.137512	0.491438	-0.035113	39
5269.451546	332.190796	0.478072	-0.033884	41
5271.488500	332.333252	0.462825	-0.032961	43
5273.009372	49.693924	0.033277	-0.100000	45
5274.567317	152.319473	0.441142	-0.032042	47
5276.621476	152.335999	0.426558	-0.030988	49
5278.660314	152.444565	0.414355	-0.030306	51
5280.710823	176.113205	0.229271	-0.099856	53
5281.725300	314.846497	0.244415	-0.078687	55
5283.769299	332.037720	0.380461	-0.028561	57
5285.811331	331.926880	0.369991	-0.027634	59
5287.865801	331.943481	0.356151	-0.026970	61
5289.906225	332.210541	0.346751	-0.025790	63
5291.961268	350.740509	0.216805	-0.073956	65
5292.988915	133.084488	0.217013	-0.072618	67
5295.033489	152.300797	0.319608	-0.024367	69
5297.085579	174.586639	0.188005	-0.075469	71
5298.087386	316.171021	0.199696	-0.059343	73
5300.138266	331.919464	0.296320	-0.022932	75
