crossing time (s)	slope (V/s)	crossing number
5708.316232	24.264811	8916
5709.303493	22.598972	8917
5710.355452	24.452608	8918
5711.380330	23.134645	8919
5712.406828	21.255560	8920
5713.428318	22.262279	8921
5714.459044	20.784046	8922
5715.476537	24.509021	8923
5715.986943	-5.091610	8924
5716.511358	22.519742	8925
5717.476300	18.850743	8926
5718.523223	21.365250	8927
5719.549917	19.858649	8928
5720.599605	17.261066	8929
5721.566340	21.338484	8930
5722.632339	17.416621	8931
5723.606531	18.934680	8932
5724.155814	-4.688152	8933
5724.622752	18.068993	8934
5725.661132	14.897105	8935
5726.706301	15.033267	8936
5727.710903	14.647457	8937
5728.736378	14.154513	8938
5729.734822	15.982960	8939
5730.796986	13.344972	8940
5731.859338	15.774431	8941
5732.901637	13.547530	8942
5733.822010	15.102836	8943
5734.944242	15.589223	8944
5735.902169	13.635716	8945
5736.962188	11.794943	8946
5737.984192	10.752093	8947
5739.035949	11.045914	8948
5740.007854	12.625065	8949
5741.050312	11.255767	8950
5742.050250	10.589562	8951
5742.566032	-4.265018	8952
5743.167164	6.017875	8953
5744.100127	10.103314	8954
5745.130193	10.765925	8955
5745.608760	-3.838550	8956
5746.111171	11.869051	8957
5747.199572	9.910629	8958
5748.153977	11.014561	8959
5749.244539	7.718630	8960
5750.292085	6.984711	8961
5751.299785	8.738545	8962
5752.291164	10.061161	8963
5753.342672	8.582668	8964
5754.306584	9.602688	8965
5755.378975	6.733069	8966
5756.356382	8.836655	8967
5757.439894	8.481483	8968
5758.425192	6.296334	8969
5759.443546	7.719927	8970
5759.992977	-4.816807	8971
5760.445698	10.487142	8972
5761.540072	6.713622	8973
