time (s)	magX	magY	magZ
5709.288040	-103.593811	8.972530	-783.853271
5709.291418	-97.749252	5.173580	-787.126221
5709.294738	-91.378708	1.199299	-789.639343
5709.298003	-85.709534	-2.307423	-792.795471
5709.301285	-79.689651	-6.515488	-795.425476
5709.305039	-73.026871	-10.665108	-798.406189
5709.308323	-66.831680	-14.580948	-800.743958
5709.311634	-60.928699	-18.496788	-801.679138
5709.314910	-54.090588	-22.295731	-804.426086
5709.318197	-48.070721	-26.912918	-806.004089
5709.321498	-41.291058	-30.244301	-807.874329
5709.325271	-34.803623	-34.335480	-808.692566
5709.328535	-28.783749	-37.549973	-809.744568
5709.331812	-22.471653	-41.699593	-810.329041
5709.335064	-16.159554	-45.440094	-812.140808
5709.338370	-9.029221	-48.479256	-812.023926
5709.342126	-2.249561	-52.745758	-812.374634
5709.345383	3.419636	-56.252487	-812.257751
5709.348667	9.556400	-59.350090	-812.140808
5709.351947	16.336061	-62.973701	-812.433044
5709.355231	22.414379	-67.473991	-811.205688
5709.359001	28.843367	-70.513145	-810.504333
5709.362712	35.155464	-74.312096	-809.043213
5709.366045	41.000000	-77.818817	-807.406799
5709.369373	47.662773	-81.676216	-806.530090
5709.372703	53.974869	-85.416725	-804.542969
5709.376039	60.170074	-89.098778	-802.672668
5709.379401	66.073059	-91.495033	-800.510193
5709.382718	72.326706	-95.469322	-798.230835
5709.386040	77.820572	-98.333138	-795.951477
5709.389371	83.606659	-101.898308	-793.263000
5709.392715	89.626541	-104.762138	-790.516052
5709.396039	94.477493	-107.976616	-787.360046
5709.399378	99.679138	-111.600243	-783.677917
5709.402711	105.465225	-114.990059	-780.463440
5709.406037	111.075974	-117.795433	-776.722900
5709.409374	116.569839	-120.951500	-773.040894
5709.412705	122.180603	-124.633553	-768.832825
5709.416042	126.447098	-127.088249	-765.267700
5709.419368	131.824081	-130.010529	-761.118042
5709.422708	136.382812	-132.114563	-757.260620
5709.426479	141.526001	-135.329041	-751.591492
5709.429807	146.260086	-138.134430	-747.208069
5709.433136	150.701935	-140.530701	-742.006409
5709.436465	155.260666	-143.043823	-737.622986
5709.439793	159.468735	-145.556976	-732.421387
5709.443124	164.611923	-147.894806	-727.044434
5709.446465	168.644653	-150.232605	-722.485657
5709.449790	172.969604	-152.219757	-717.167114
5709.453142	176.827011	-154.966705	-710.329041
5709.456462	180.625946	-156.661621	-705.010498
5709.459839	184.424896	-158.298065	-700.217957
5709.463601	188.340744	-160.343658	-693.672119
5709.466982	191.496780	-162.038574	-688.353577
5709.470217	195.471069	-163.382812	-682.625916
5709.473540	198.334900	-165.077728	-676.080078
5709.476872	201.841614	-166.772644	-670.995300
5709.480229	205.406784	-168.818237	-664.449402
5709.483588	207.569260	-169.753357	-658.312683
5709.486948	210.549973	-171.448273	-651.649902
5709.490287	213.647583	-171.915863	-646.448242
5709.493537	216.336075	-173.610779	-640.311523
5709.496902	219.082993	-175.071899	-634.642273
5709.500646	221.187027	-175.247223	-628.914673
5709.504085	223.407959	-176.825256	-622.193481
5709.507391	225.921097	-177.643463	-616.874878
5709.510729	228.434250	-178.695496	-610.445923
5709.513995	230.538284	-180.098175	-603.549377
5709.517318	231.882538	-180.682648	-597.821716
5709.520700	234.103455	-181.384003	-592.152527
5709.524045	235.506134	-181.793091	-585.898865
5709.527400	238.194626	-182.669800	-579.937439
5709.530708	239.305084	-183.663361	-573.917542
5709.534471	240.123337	-184.072479	-567.956116
5709.537790	241.584457	-185.241364	-562.228516
5709.541055	243.104034	-185.825836	-556.442444
5709.544333	244.506729	-186.585632	-550.188782
5709.547578	245.324951	-186.936279	-544.578003
