time (s)	magX	magY	magZ
4772.565734	-285.417297	152.572769	-464.507904
4772.569045	-284.423737	152.280548	-470.936859
4772.572323	-283.605499	150.877838	-477.658081
4772.575607	-283.021057	151.228516	-485.139130
4772.578915	-282.261261	149.942719	-492.386353
4772.582199	-281.793701	149.007599	-500.218018
4772.585530	-280.566345	147.897141	-507.348358
4772.589292	-279.572784	146.143768	-515.121521
4772.592624	-278.520752	146.026886	-521.901184
4772.595919	-277.702515	144.039734	-529.440674
4772.599243	-275.773804	143.046173	-537.506104
4772.602553	-273.962036	141.760376	-544.227356
4772.605854	-272.267120	140.416138	-551.942139
4772.609540	-270.864410	138.604324	-559.072449
4772.613064	-269.520172	137.026306	-567.430115
4772.616393	-267.065460	135.272934	-575.554077
4772.619724	-265.078339	133.285797	-583.210388
4772.623066	-263.032715	131.064880	-590.632935
4772.626424	-260.402710	129.194611	-598.581543
4772.629723	-258.357086	127.324371	-606.530090
4772.633055	-255.376389	125.103447	-614.653992
4772.636389	-252.103439	122.414963	-623.654602
4772.639723	-249.531845	119.726479	-631.077148
4772.643055	-246.142014	116.862656	-638.967224
4772.646394	-242.401505	114.349503	-647.266479
4772.649723	-238.894791	111.719467	-654.689026
4772.653053	-235.797195	107.978958	-662.579163
4772.656390	-231.881332	104.764465	-671.229126
4772.660168	-228.433060	102.017532	-679.002319
4772.663495	-223.757462	98.686142	-686.600220
4772.666818	-219.724716	94.945648	-693.905884
4772.670175	-214.581528	92.198715	-701.503784
4772.673480	-210.139664	88.575104	-709.277039
4772.676811	-205.113373	85.243713	-717.284058
4772.680150	-200.496185	81.444763	-724.823486
4772.683473	-194.768570	78.288719	-731.544678
4772.686806	-190.385147	74.372879	-738.207458
4772.690160	-185.241959	70.573929	-744.578003
4772.693498	-179.981873	66.424309	-752.059021
4772.696873	-174.078903	63.151375	-758.020447
4772.700596	-167.474564	57.891289	-764.215637
4772.703895	-161.630020	54.443016	-770.703125
4772.707230	-155.434830	49.884277	-775.612488
4772.710605	-149.940964	45.033314	-782.216797
4772.713920	-143.862640	40.299240	-786.833984
4772.717304	-137.492111	36.091171	-792.912292
4772.720637	-130.654007	31.649326	-798.406189
4772.723900	-124.341888	27.032145	-803.374023
4772.727231	-117.796021	23.291641	-808.166565
4772.730601	-111.016357	18.323786	-812.374634
4772.734402	-103.944473	13.297485	-816.524170
4772.737727	-96.638794	8.738747	-820.206360
4772.741055	-89.742249	4.063118	-824.180603
4772.744346	-83.254822	-1.430744	-828.096436
4772.747669	-75.130920	-5.405029	-832.012268
4772.751056	-67.942139	-10.898891	-834.992981
4772.754396	-60.578022	-16.217419	-837.097046
4772.757758	-52.746342	-21.360611	-839.142578
4772.761060	-45.499119	-25.860901	-842.473938
4772.764364	-38.135014	-30.478088	-843.233765
4772.768144	-30.595562	-35.738167	-844.285767
4772.771489	-23.231441	-40.822914	-845.922241
4772.774760	-15.575100	-45.966103	-846.331360
4772.778030	-7.860313	-50.524841	-847.324890
4772.781347	0.438927	-55.843376	-847.617126
4772.784614	7.569260	-60.811218	-847.558777
4772.787953	15.517828	-66.012856	-847.266479
4772.791670	23.291059	-70.571594	-846.857361
4772.794962	30.538284	-75.831680	-845.922241
4772.798259	38.194626	-79.981300	-845.630066
4772.801537	46.201637	-84.715370	-843.467590
4772.804849	54.442432	-89.566338	-840.662170
4772.808571	61.455875	-93.949745	-838.499695
4772.811861	68.644653	-98.099358	-836.454102
4772.815145	76.242546	-102.658104	-833.005798
4772.818430	83.197540	-106.924599	-830.025085
4772.821771	90.269440	-110.840446	-826.518433
4772.825482	96.932205	-114.814735	-822.719421
4772.828754	103.653419	-119.139687	-818.394470
4772.832035	110.199295	-122.295738	-814.595581
4772.835307	117.329636	-125.977791	-810.270569
4772.838654	123.817062	-130.536530	-805.536560
4772.841974	129.895386	-133.575684	-801.094666
4772.845303	135.739914	-136.322632	-795.951477
4772.849034	142.344238	-140.180023	-791.626526
4772.852365	147.662781	-143.277618	-785.197510
4772.855737	153.974869	-146.609009	-780.229675
4772.859028	158.884277	-149.355927	-774.443604
4772.862309	164.027466	-152.102844	-768.131470
4772.865561	169.404434	-155.434265	-761.819397
4772.869332	174.722977	-158.298065	-755.565735
4772.873036	179.632385	-161.278778	-748.143188
4772.876365	184.366455	-163.499725	-741.947937
4772.879699	188.983643	-166.363525	-735.051392
4772.883038	193.834595	-168.584442	-728.914673
4772.886373	198.393341	-171.156067	-722.135010
4772.889698	202.659851	-173.727631	-713.777344
4772.893031	206.049683	-175.714783	-707.874329
4772.896367	210.257751	-177.234375	-700.217957
4772.899710	213.472244	-179.455292	-693.146118
4772.903073	217.271194	-181.500885	-685.080627
4772.906371	220.602585	-183.312683	-677.015198
4772.909696	224.343079	-184.832275	-669.300415
4772.913031	227.616028	-186.644073	-662.286987
4772.916389	230.655182	-188.222076	-653.753906
4772.919698	233.343658	-189.624756	-646.156067
4772.923031	236.499710	-190.735260	-638.791931
4772.926361	238.428406	-191.845703	-630.025146
4772.929710	241.701355	-193.073059	-622.368774
4772.933030	243.863831	-193.715973	-615.296875
4772.936785	246.143204	-195.060181	-606.530090
4772.940140	248.188797	-195.761536	-598.873718
4772.943469	250.175919	-196.696655	-590.223816
4772.946851	251.344833	-197.281128	-582.742798
4772.950134	253.799545	-198.683807	-574.969604
4772.953448	255.260666	-199.385162	-566.962585
4772.956784	256.780243	-199.151367	-559.481567
4772.960140	258.066040	-199.794281	-551.883667
4772.963442	259.702515	-200.495605	-544.227356
4772.966777	260.696075	-200.963165	-537.096985
4772.970557	261.572754	-201.080078	-529.148437
4772.973960	262.098755	-201.021637	-521.725891
4772.977312	263.384552	-201.664520	-515.179993
4772.980551	264.378143	-201.255402	-508.166595
4772.983869	264.670380	-201.489197	-501.562256
4772.987194	265.371704	-201.781433	-494.724121
4772.990575	265.488617	-201.839874	-486.366455
4772.993898	265.722382	-201.313873	-480.346588
4772.997288	266.774384	-200.904724	-474.151367
4773.000609	266.482178	-201.021637	-466.787292
4773.003914	267.300415	-200.495605	-460.767426
4773.007641	267.125061	-200.378723	-453.870819
4773.010979	266.657501	-200.670959	-447.734070
4773.014358	267.241943	-199.618958	-441.071320
4773.017702	266.774384	-200.261841	-435.168304
4773.021067	266.365295	-200.086517	-428.447113
4773.024332	266.832855	-199.502045	-422.661011
4773.027644	265.956177	-199.092926	-417.108734
4773.031039	265.839264	-199.092926	-411.556427
4773.034405	266.014587	-198.216248	-406.647003
