crossing time (s)	slope (V/s)	crossing number
7094.381103	23.416433	11070
7095.356106	25.772696	11071
7096.409127	24.581098	11072
7097.391016	23.655034	11073
7098.481254	21.006934	11074
7099.492196	21.294585	11075
7100.483716	20.931394	11076
7101.492180	22.598427	11077
7102.550279	20.015197	11078
7103.045440	-2.655718	11079
7103.534844	21.875328	11080
7104.580565	20.032396	11081
7105.589991	19.973237	11082
7106.620636	19.138385	11083
7107.680476	21.030641	11084
7108.695600	17.118060	11085
7109.719736	18.582475	11086
7110.711649	18.992621	11087
7111.749022	18.211661	11088
7112.802550	19.505834	11089
7113.759722	20.574208	11090
7114.797427	16.458403	11091
7115.857063	17.779193	11092
7116.865229	18.215344	11093
7117.845558	14.983411	11094
7118.904376	17.025483	11095
7119.919607	17.380422	11096
7120.938298	10.296710	11097
7121.931374	19.141590	11098
7122.989462	18.714327	11099
7123.990706	16.486872	11100
7125.008891	15.160275	11101
7126.001523	15.750027	11102
7127.101390	14.050740	11103
7128.041114	17.162763	11104
7129.145562	13.478122	11105
7129.598085	-3.860890	11106
7130.097375	14.112847	11107
7131.154566	13.761550	11108
7131.648262	-4.873023	11109
7132.146288	14.728288	11110
7133.245005	13.784798	11111
7134.157834	14.104545	11112
7135.242961	15.839603	11113
7136.273252	15.111922	11114
7137.357962	11.454682	11115
7138.307389	10.079604	11116
7139.324470	15.275405	11117
7140.303083	14.911162	11118
7141.365207	11.413364	11119
7142.409774	12.600818	11120
7143.405689	14.420186	11121
7144.420639	11.444106	11122
7145.451227	12.614745	11123
7146.490768	12.148295	11124
7147.508349	12.204143	11125
7148.015074	-3.774933	11126
7148.512551	11.178046	11127
7149.522302	11.904576	11128
7150.542845	10.063680	11129
7151.577643	12.267540	11130
7152.563197	10.244404	11131
7153.652547	10.496744	11132
7154.618103	10.882947	11133
7155.669731	10.814475	11134
7156.645215	10.928221	11135
7157.762887	11.936178	11136
7158.733377	11.369146	11137
7159.780766	8.388917	11138
7160.795019	8.682687	11139
7161.850497	7.497976	11140
7162.777086	11.466766	11141
7163.882515	9.520856	11142
7164.820055	9.523806	11143
7165.905816	7.689942	11144
7166.914038	11.695621	11145
7167.956419	10.677876	11146
7168.410171	-4.347400	11147
7168.959669	5.588426	11148
7169.995393	8.544752	11149
7171.006592	6.563162	11150
7172.081137	8.167064	11151
7173.004799	8.836067	11152
7174.076319	7.881195	11153
7175.097918	9.980816	11154
7176.147950	7.645711	11155
7177.134700	7.060233	11156
7178.180519	8.300001	11157
7179.202780	8.941043	11158
7180.239024	8.999714	11159
7181.232164	6.799672	11160
7182.251371	9.796435	11161
7183.210183	8.536421	11162
7184.276790	5.798613	11163
7185.350348	6.878156	11164
7186.301251	6.698506	11165
7187.422854	7.568702	11166
7188.360933	6.551670	11167
7189.418609	6.411599	11168
7190.433420	8.022491	11169
7191.460504	7.768212	11170
7192.471440	5.578587	11171
7192.975680	-1.715058	11172
7193.508635	7.552406	11173
7194.509147	4.625585	11174
7195.528109	8.020960	11175
7196.566812	5.648818	11176
