time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7095.372696	329.946655	0.643273	-0.019939	63
7097.414399	329.664856	0.629497	-0.019400	65
7099.459287	329.756531	0.618766	-0.019400	67
7101.506028	330.298523	0.608464	-0.019077	69
7103.033022	42.818928	0.021701	-0.100000	71
7104.581770	150.194412	0.605339	-0.019735	73
7106.625138	149.907715	0.592305	-0.019460	75
7108.670136	149.872116	0.583620	-0.019022	77
7110.715888	150.099045	0.573620	-0.018788	79
7112.768452	150.276398	0.567394	-0.018888	81
7114.803591	150.397842	0.558405	-0.019261	83
7116.851846	150.429825	0.553068	-0.019226	85
7118.887853	150.673553	0.543324	-0.019367	87
7120.933108	150.841354	0.535443	-0.019445	89
7122.976746	150.983780	0.524839	-0.019755	91
7125.026800	150.751526	0.515068	-0.019739	93
7127.075240	150.656357	0.508251	-0.019613	95
7129.128535	170.811493	0.264118	-0.100000	97
7130.111570	316.911591	0.283501	-0.074463	99
7131.664355	47.508350	0.020613	-0.100000	101
7133.217712	150.330048	0.488114	-0.019081	103
7135.264537	150.349503	0.480998	-0.019112	105
7137.308546	150.321030	0.475015	-0.018860	107
7139.341511	150.393707	0.467361	-0.018850	109
7141.390292	150.356064	0.459997	-0.018853	111
7143.426616	150.362595	0.452180	-0.018600	113
7145.469051	150.298019	0.446397	-0.018870	115
7147.519636	172.640076	0.237589	-0.098625	117
7148.510967	316.833496	0.264921	-0.065299	119
7150.553426	329.644775	0.428732	-0.018714	121
7152.588599	329.534180	0.423100	-0.018751	123
7154.632080	329.506744	0.415475	-0.018629	125
7156.670661	329.435120	0.408504	-0.018479	127
7158.722718	329.495209	0.401337	-0.018429	129
7160.765774	329.507874	0.394606	-0.018229	131
7162.807085	329.656372	0.388361	-0.018087	133
7164.860230	329.817078	0.383941	-0.017703	135
7166.901935	329.931061	0.376958	-0.017680	137
7168.443189	61.766201	0.114997	-0.100000	139
7169.995809	150.649612	0.371933	-0.017634	141
7172.049527	150.580719	0.369232	-0.017604	143
7174.077399	150.429550	0.361723	-0.017541	145
7176.134442	150.218140	0.358734	-0.017269	147
7178.162277	150.101990	0.351625	-0.017248	149
7180.218172	149.891083	0.346934	-0.016993	151
7182.247424	149.996887	0.341027	-0.017046	153
7184.286018	149.927383	0.335768	-0.016811	155
7186.332067	149.868546	0.329754	-0.016703	157
7188.374626	149.868927	0.327938	-0.016528	159
7190.430832	150.138809	0.322211	-0.016475	161
7192.467634	167.833755	0.191773	-0.060092	163
7193.503760	318.127930	0.209962	-0.046859	165
7195.529797	329.796570	0.309625	-0.016270	167
