crossing time (s)	slope (V/s)	crossing number
4328.358069	36.060891	6637
4329.361087	34.934793	6638
4330.395754	31.403485	6639
4331.376486	35.588646	6640
4332.463793	30.552115	6641
4333.428018	29.403703	6642
4334.435236	26.794769	6643
4335.445661	27.384506	6644
4336.518186	24.367479	6645
4337.581463	26.549508	6646
4338.580163	23.994736	6647
4339.531462	23.268814	6648
4340.663831	21.889831	6649
4341.636641	21.173240	6650
4342.702411	20.213026	6651
4343.654666	21.062327	6652
4344.731679	12.266824	6653
4345.665361	19.514141	6654
4346.721900	16.914067	6655
4347.687537	17.853121	6656
4348.822664	17.047629	6657
4349.816849	15.783223	6658
4350.843997	13.497048	6659
4351.848352	12.595125	6660
4352.910539	16.132489	6661
4353.899612	13.082540	6662
4354.934690	12.638188	6663
4355.968943	10.446377	6664
4357.014417	11.706703	6665
4357.960615	11.265783	6666
4359.068079	11.312464	6667
4360.059561	8.507507	6668
4361.100100	8.253414	6669
4362.120498	9.201279	6670
4363.179371	8.978553	6671
4364.136310	6.630945	6672
4365.222529	8.067971	6673
4366.206769	6.905695	6674
4367.252129	10.062394	6675
4368.288120	1.169540	6676
4369.296765	7.605578	6677
4370.290084	8.313991	6678
4371.374692	5.729294	6679
4372.346020	6.673183	6680
4372.899098	-4.704566	6681
4373.421948	6.329183	6682
4374.419691	3.685884	6683
4375.477362	5.022720	6684
4376.426929	6.330438	6685
4377.504435	4.043899	6686
4378.430796	6.656334	6687
4379.544659	4.507222	6688
4380.006591	-3.986066	6689
4380.520854	6.454018	6690
4381.036822	-5.569545	6691
4381.607806	3.815053	6692
