time (s)	magX	magY	magZ
6579.047657	-268.468140	106.225601	-285.606659
6579.050953	-268.818848	105.991814	-287.593811
6579.054696	-269.111053	106.225601	-290.223877
6579.057996	-269.753967	106.400940	-293.029236
6579.061277	-270.455292	106.926941	-295.951508
6579.064534	-270.104614	106.810051	-299.107544
6579.067826	-271.098175	107.102280	-301.562256
6579.071580	-271.390411	106.459381	-303.315613
6579.074861	-271.799561	106.868500	-306.062561
6579.078114	-272.559326	107.569839	-308.225006
6579.081353	-272.676208	107.219170	-312.023987
6579.085133	-272.910004	106.985390	-316.407379
6579.088421	-273.786682	106.868500	-318.686737
6579.091734	-273.845123	107.511398	-321.375244
6579.095010	-273.962036	107.394501	-324.998840
6579.098281	-274.546478	107.277611	-327.804199
6579.101606	-275.423157	106.400940	-331.544708
6579.105346	-275.598480	106.810051	-334.116333
6579.109067	-276.124512	106.517822	-337.447693
6579.112388	-276.066040	106.225601	-341.772644
6579.115730	-277.059631	106.868500	-345.104065
6579.119059	-276.942749	106.225601	-349.136780
6579.122397	-277.234955	105.641144	-352.935730
6579.125725	-277.351868	106.225601	-356.968445
6579.129059	-277.877869	105.991814	-361.410278
6579.132387	-277.819427	104.764465	-365.676819
6579.135726	-278.286987	104.296906	-370.118652
6579.139056	-278.345428	104.706017	-374.385162
6579.142393	-278.345428	103.946228	-378.885468
6579.145726	-278.929871	103.127998	-383.677979
6579.149058	-279.280548	102.894211	-388.178284
6579.152403	-279.105225	102.251312	-393.087677
6579.155716	-278.403870	101.725311	-397.763306
6579.159055	-278.754547	101.199295	-402.322021
6579.162392	-279.046753	100.673286	-408.341919
6579.165720	-278.520752	99.971939	-412.725311
6579.169050	-278.111633	99.387489	-417.284058
6579.172393	-277.760956	98.861481	-422.836365
6579.176158	-277.468719	98.277031	-427.570435
6579.179480	-277.760956	97.809464	-433.648743
6579.182814	-276.650513	97.283463	-439.084137
6579.186143	-275.832275	96.523666	-444.578033
6579.189475	-275.364716	95.705429	-449.078339
6579.192813	-275.189392	95.237869	-454.572205
6579.196176	-274.254242	94.127411	-459.890717
6579.199473	-273.728241	94.010513	-465.209259
6579.202825	-272.617767	92.607834	-470.703125
6579.206159	-271.857971	92.374054	-476.196960
6579.209489	-270.747528	91.146698	-481.632385
6579.213230	-269.578644	90.328461	-487.067810
6579.216567	-268.760376	89.451782	-494.198151
6579.219897	-267.708374	88.984222	-499.750427
6579.223250	-266.539459	86.821739	-505.302765
6579.226617	-265.195221	86.120392	-511.439514
6579.229989	-263.500305	85.185272	-517.342529
6579.233293	-262.740509	83.724136	-524.005249
6579.236569	-261.045593	82.672119	-527.453552
6579.239900	-258.766235	80.801865	-534.583801
6579.243228	-257.714203	78.990067	-540.369934
6579.247049	-255.785507	77.996490	-546.565125
6579.250389	-253.213882	76.126236	-552.818787
6579.253744	-250.525406	74.548218	-559.423157
6579.257035	-248.888962	72.502625	-565.910522
6579.260346	-246.784927	71.041496	-571.462891
6579.263681	-244.447098	69.112801	-577.833435
6579.267061	-241.407944	66.307419	-584.320862
6579.270434	-239.362350	64.437172	-589.756287
6579.273778	-236.556961	62.099358	-595.367004
