time (s)	det(V)
6579.046469	-0.714232	
6579.047985	-0.730531	
6579.049515	-0.827513	
6579.051073	-0.817861	
6579.052590	-0.739043	
6579.054140	-0.758097	
6579.055662	-0.799057	
6579.057259	-0.839622	
6579.058746	-0.827609	
6579.060302	-0.911547	
6579.061820	-0.819251	
6579.063385	-0.875933	
6579.064902	-0.840685	
6579.066455	-0.898065	
6579.067971	-0.833374	
6579.069496	-0.924237	
6579.071043	-0.894713	
6579.072575	-0.864320	
6579.074148	-0.801458	
6579.075651	-0.958643	
6579.077196	-0.970732	
6579.078717	-0.878016	
6579.080251	-0.898347	
6579.081789	-0.996336	
6579.083330	-1.011067	
6579.084883	-1.050190	
6579.086365	-0.966264	
6579.087923	-1.028856	
6579.089443	-1.001222	
6579.091030	-0.998148	
6579.092516	-1.104742	
6579.094075	-1.152364	
6579.095601	-1.054424	
6579.097150	-1.224056	
6579.098676	-1.094167	
6579.100214	-1.174287	
6579.101762	-1.155865	
6579.103285	-1.130237	
6579.104845	-1.234385	
6579.106366	-1.249673	
6579.108092	-1.482006	
6579.109661	-1.197079	
6579.111330	-1.484234	
6579.112910	-1.307600	
6579.114531	-1.533516	
6579.116149	-1.285017	
6579.117783	-1.540344	
6579.119390	-1.390611	
6579.121003	-1.596249	
6579.122639	-1.424224	
6579.124216	-1.627396	
6579.125896	-1.522865	
6579.127448	-1.638341	
6579.129137	-1.526551	
6579.130686	-1.656360	
6579.132382	-1.637262	
6579.133931	-1.645342	
6579.135611	-1.651010	
6579.137125	-1.672090	
6579.138889	-1.736745	
6579.140368	-1.701501	
6579.142148	-1.801996	
6579.143633	-1.763251	
6579.145421	-1.796932	
6579.146899	-1.736483	
6579.148668	-1.824228	
6579.150151	-1.702214	
6579.151878	-1.834605	
6579.153380	-1.780331	
6579.155132	-1.854340	
6579.156646	-1.839181	
6579.158357	-1.855568	
6579.159879	-1.810346	
6579.161573	-1.855129	
6579.163121	-1.848821	
6579.164802	-1.849542	
6579.166362	-1.854593	
6579.168013	-1.855238	
6579.169606	-1.851097	
6579.171259	-1.855169	
6579.172863	-1.854887	
6579.174499	-1.855367	
6579.176086	-1.852112	
6579.177600	-1.854980	
6579.179283	-1.855157	
6579.180755	-1.855476	
6579.182498	-1.854190	
6579.183969	-1.855000	
6579.185677	-1.855548	
6579.187156	-1.855314	
6579.188853	-1.854630	
6579.190336	-1.854831	
6579.192025	-1.855306	
6579.193509	-1.855395	
6579.195184	-1.855403	
6579.196707	-1.855302	
6579.198330	-1.855689	
6579.199857	-1.855411	
6579.201477	-1.855431	
6579.203026	-1.855133	
6579.204620	-1.855331	
6579.206223	-1.855391	
6579.207762	-1.855621	
6579.209401	-1.855399	
6579.210904	-1.855238	
6579.212592	-1.855689	
6579.214075	-1.855528	
6579.215701	-1.855649	
6579.217184	-1.855689	
6579.218804	-1.855709	
6579.220289	-1.855488	
6579.221917	-1.855560	
6579.223410	-1.855524	
6579.224984	-1.855713	
6579.226527	-1.855552	
