time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3876.969748	330.811401	0.738410	-0.016871	243
3879.019490	330.740265	0.694926	-0.016740	245
3880.555360	43.726273	0.018856	-0.100000	247
3882.113838	151.071808	0.638130	-0.015436	249
3884.160879	151.082413	0.599530	-0.014957	251
3885.670082	237.184158	0.014221	-0.100000	253
3887.219261	330.745850	0.546037	-0.013895	255
3889.263646	330.812561	0.514859	-0.013387	1
3891.311031	330.793274	0.483201	-0.012896	3
3893.363329	330.668762	0.452724	-0.012589	5
3895.401829	330.583740	0.426093	-0.012012	7
3897.451954	336.132294	0.256570	-0.026426	9
3898.523414	143.684586	0.257775	-0.033674	11
3900.566697	151.492554	0.363542	-0.010736	13
3902.615658	151.292282	0.343658	-0.010146	15
3904.657640	151.223755	0.321925	-0.009497	17
3906.716158	166.912140	0.181056	-0.050528	19
3907.709552	321.898682	0.190207	-0.032764	21
3909.739376	330.945557	0.277299	-0.008745	23
