time (s)	det(V)
1940.019956	-1.331955	
1940.021497	-1.317352	
1940.023030	-1.406233	
1940.024563	-1.444744	
1940.026081	-1.441038	
1940.027668	-1.403236	
1940.029162	-1.469663	
1940.030720	-1.519111	
1940.032243	-1.431165	
1940.033783	-1.512762	
1940.035322	-1.501080	
1940.036836	-1.562866	
1940.038401	-1.533734	
1940.039913	-1.648287	
1940.041486	-1.696055	
1940.042982	-1.651892	
1940.044574	-1.684461	
1940.046084	-1.724551	
1940.047682	-1.793335	
1940.049183	-1.809988	
1940.050767	-1.847423	
1940.052284	-1.841799	
1940.053792	-1.855041	
1940.055364	-1.855206	
1940.056880	-1.855294	
1940.058455	-1.855133	
1940.059949	-1.855580	
1940.061556	-1.855608	
1940.063063	-1.855576	
1940.064637	-1.855633	
1940.066127	-1.855532	
1940.067710	-1.855866	
1940.069204	-1.855693	
1940.070754	-1.855733	
1940.072287	-1.855802	
1940.073811	-1.855818	
1940.075395	-1.855774	
1940.076880	-1.855770	
1940.078482	-1.855806	
1940.079971	-1.855782	
1940.081567	-1.855822	
1940.083092	-1.855842	
1940.084685	-1.855834	
1940.086183	-1.855915	
1940.087723	-1.855838	
1940.089279	-1.855886	
1940.090795	-1.855891	
1940.092337	-1.855810	
1940.093870	-1.855854	
1940.095449	-1.855681	
1940.096944	-1.855790	
1940.098501	-1.855870	
1940.100031	-1.855850	
1940.101631	-1.855794	
1940.103121	-1.855810	
1940.104682	-1.855814	
1940.106200	-1.855915	
1940.107770	-1.855810	
1940.109494	-1.855899	
1940.110985	-1.855766	
1940.112767	-1.855737	
1940.114251	-1.855794	
1940.116033	-1.855790	
1940.117516	-1.855931	
1940.119285	-1.855842	
1940.120769	-1.855951	
1940.122511	-1.855870	
1940.124020	-1.855886	
1940.125775	-1.855858	
1940.127288	-1.855798	
1940.129015	-1.855750	
1940.130550	-1.855826	
1940.132264	-1.855834	
1940.133798	-1.855802	
1940.135485	-1.855866	
1940.137036	-1.855854	
1940.138716	-1.855713	
1940.140294	-1.855842	
1940.141978	-1.855883	
1940.143551	-1.855874	
1940.145191	-1.855689	
1940.146787	-1.855939	
1940.148422	-1.855725	
1940.150042	-1.855915	
1940.151641	-1.855891	
1940.153324	-1.855822	
1940.154912	-1.855798	
1940.156580	-1.855886	
1940.158182	-1.855790	
1940.159828	-1.855907	
1940.161312	-1.855830	
1940.163045	-1.855911	
1940.164523	-1.855826	
1940.166219	-1.855862	
1940.167706	-1.855766	
1940.169404	-1.855886	
1940.170888	-1.855903	
1940.172593	-1.855737	
1940.174075	-1.855931	
1940.175755	-1.855705	
1940.177276	-1.855834	
1940.178901	-1.855794	
1940.180450	-1.855943	
1940.182061	-1.855838	
1940.183641	-1.855931	
1940.185235	-1.855850	
1940.186823	-1.855814	
1940.188381	-1.855681	
1940.190003	-1.855866	
1940.191528	-1.855846	
1940.193156	-1.855830	
1940.194648	-1.855846	
1940.196299	-1.855911	
1940.197784	-1.855834	
1940.199419	-1.855862	
1940.200907	-1.855927	
1940.202515	-1.855745	
1940.204012	-1.855931	
1940.205606	-1.855737	
1940.207146	-1.855991	
1940.208656	-1.855745	
1940.210283	-1.855838	
1940.211784	-1.855939	
1940.213418	-1.855818	
1940.214933	-1.855883	
1940.216557	-1.855995	
1940.218045	-1.855891	
1940.219697	-1.855903	
1940.221169	-1.855854	
1940.222802	-1.855874	
1940.224283	-1.855963	
1940.225820	-1.855878	
1940.227346	-1.855891	
1940.228836	-1.855810	
1940.230401	-1.855891	
1940.231928	-1.855943	
1940.233500	-1.855822	
1940.235014	-1.855737	
1940.236601	-1.855782	
1940.238082	-1.855943	
1940.239644	-1.855770	
1940.241128	-1.855923	
1940.242697	-1.855733	
1940.244191	-1.855802	
1940.245694	-1.855770	
1940.247273	-1.855903	
1940.248770	-1.855725	
1940.250366	-1.855810	
1940.251867	-1.855842	
1940.253428	-1.855802	
1940.254953	-1.855818	
1940.256513	-1.855778	
1940.258021	-1.855818	
1940.259565	-1.855685	
1940.261090	-1.855842	
1940.262581	-1.855798	
1940.264152	-1.855713	
1940.265678	-1.855709	
1940.267260	-1.855754	
1940.268751	-1.855608	
1940.270311	-1.855568	
1940.271838	-1.855290	
1940.273405	-1.854283	
1940.274936	-1.849340	
1940.276462	-1.851439	
1940.278034	-1.782567	
1940.279519	-1.706218	
1940.281096	-1.645636	
1940.282617	-1.508488	
1940.284207	-1.481047	
1940.285703	-1.365841	
1940.287264	-1.317610	
1940.288787	-1.178613	
1940.290346	-1.151083	
1940.291863	-1.049473	
1940.293415	-0.966039	
1940.294948	-0.866616	
1940.296464	-0.802126	
1940.298008	-0.739675	
1940.299535	-0.632558	
1940.301122	-0.628284	
1940.302612	-0.427291	
1940.304163	-0.409389	
1940.305687	-0.277804	
1940.307243	-0.259225	
1940.308768	-0.142203	
1940.310302	-0.093871	
1940.311869	-0.022759	
1940.313396	-0.008112	
1940.314945	0.148114	
1940.316426	0.220841	
1940.318038	0.300860	
1940.319543	0.379722	
1940.321127	0.411550	
1940.322628	0.567740	
1940.324168	0.565283	
1940.325714	0.683796	
1940.327232	0.813258	
1940.328782	0.821754	
1940.330302	0.897297	
1940.331877	0.975809	
1940.333371	1.075949	
1940.334946	1.122702	
1940.336449	1.288370	
1940.338030	1.315010	
1940.339527	1.366911	
1940.341091	1.393155	
1940.342608	1.396612	
1940.344117	1.396805	
1940.345672	1.396918	
1940.347197	1.397022	
1940.348762	1.396950	
1940.350255	1.396897	
1940.351851	1.397039	
1940.353375	1.396978	
1940.354968	1.397059	
1940.356464	1.396974	
1940.358026	1.396946	
1940.359540	1.396970	
1940.361102	1.396974	
1940.362621	1.396962	
1940.364131	1.397095	
1940.365894	1.397200	
1940.367375	1.397039	
1940.369118	1.397131	
1940.370620	1.397030	
1940.372381	1.397111	
1940.373900	1.396890	
1940.375626	1.397107	
1940.377168	1.396986	
1940.378869	1.397059	
1940.380411	1.396938	
1940.382089	1.397143	
1940.383650	1.396873	
1940.385328	1.397167	
1940.386898	1.396950	
1940.388546	1.397107	
1940.390138	1.397026	
1940.391774	1.397284	
1940.393395	1.396930	
1940.395016	1.397115	
1940.396629	1.397047	
1940.398236	1.397220	
1940.399893	1.396974	
1940.401490	1.397143	
1940.403177	1.397067	
1940.404746	1.397220	
1940.406443	1.396930	
1940.408020	1.397268	
1940.409687	1.397071	
1940.411233	1.397184	
1940.412948	1.396946	
1940.414495	1.397059	
1940.416202	1.396978	
1940.417706	1.397087	
1940.419453	1.397067	
1940.420932	1.396934	
1940.422632	1.397079	
1940.424116	1.396869	
1940.425803	1.397131	
1940.427306	1.396894	
1940.428950	1.397059	
1940.430493	1.396809	
1940.432127	1.397079	
1940.433679	1.396982	
1940.435280	1.397328	
1940.436872	1.396938	
1940.438429	1.397063	
1940.440034	1.396946	
1940.441598	1.396910	
