time (s)	det(V)
4573.215983	-1.855786	
4573.217467	-1.855846	
4573.219072	-1.855649	
4573.220601	-1.855866	
4573.222145	-1.855705	
4573.223741	-1.855874	
4573.225222	-1.855862	
4573.226875	-1.855814	
4573.228359	-1.855762	
4573.230012	-1.855810	
4573.231497	-1.855709	
4573.233118	-1.855786	
4573.234590	-1.855854	
4573.236230	-1.855818	
4573.237701	-1.855818	
4573.239339	-1.855794	
4573.240828	-1.855818	
4573.242425	-1.855806	
4573.243953	-1.855866	
4573.245507	-1.855794	
4573.247087	-1.855838	
4573.248573	-1.855713	
4573.250236	-1.855903	
4573.251722	-1.855737	
4573.253352	-1.855729	
4573.254877	-1.855850	
4573.256503	-1.855899	
4573.257978	-1.855842	
4573.259534	-1.855798	
4573.261037	-1.855786	
4573.262571	-1.855729	
4573.264104	-1.855883	
4573.265589	-1.855810	
4573.267162	-1.855858	
4573.268677	-1.855822	
4573.270257	-1.855830	
4573.271749	-1.855866	
4573.273338	-1.855818	
4573.274819	-1.855882	
4573.276401	-1.855830	
4573.277871	-1.855874	
4573.279430	-1.855637	
4573.280928	-1.855850	
4573.282447	-1.855907	
4573.284011	-1.855810	
4573.285500	-1.855709	
4573.287059	-1.855818	
4573.288578	-1.855774	
4573.290144	-1.855858	
4573.291663	-1.855685	
4573.293224	-1.855850	
4573.294697	-1.855814	
4573.296213	-1.855794	
4573.297781	-1.855762	
4573.299274	-1.855746	
4573.300843	-1.855806	
4573.302351	-1.855754	
4573.303928	-1.855665	
4573.305429	-1.855625	
4573.306980	-1.855681	
4573.308506	-1.855786	
4573.310038	-1.855367	
4573.311582	-1.855661	
4573.313091	-1.855629	
4573.314683	-1.855693	
4573.316168	-1.855351	
4573.317744	-1.855093	
4573.319242	-1.855020	
4573.320821	-1.854634	
4573.322317	-1.852571	
4573.323881	-1.854678	
4573.325399	-1.842537	
4573.326955	-1.834186	
4573.328487	-1.761096	
4573.329998	-1.790394	
4573.331588	-1.711528	
4573.333083	-1.676534	
4573.334688	-1.601969	
4573.336180	-1.557481	
4573.337760	-1.501688	
4573.339249	-1.406173	
4573.340810	-1.389556	
4573.342332	-1.374587	
4573.343891	-1.310375	
4573.345410	-1.247957	
4573.346941	-1.222163	
4573.348491	-1.172196	
4573.350010	-1.100782	
4573.351597	-1.063758	
4573.353091	-0.979425	
4573.354681	-0.967489	
4573.356186	-0.912212	
4573.357735	-0.835803	
4573.359248	-0.804193	
4573.360810	-0.790061	
4573.362333	-0.675323	
4573.363855	-0.592670	
4573.365413	-0.484578	
4573.366940	-0.615744	
4573.368502	-0.555400	
4573.370000	-0.456009	
4573.371566	-0.338330	
4573.373084	-0.328585	
4573.374662	-0.285865	
4573.376156	-0.215490	
4573.377684	-0.207953	
4573.379233	-0.072138	
4573.380740	-0.154296	
4573.382301	0.021194	
4573.383826	-0.007117	
4573.385405	0.065751	
4573.386892	0.166556	
4573.388459	0.214231	
4573.389982	0.267087	
4573.391569	0.318585	
4573.393060	0.352084	
4573.394607	0.402716	
4573.396138	0.417722	
4573.397703	0.360121	
4573.399442	0.484064	
4573.400917	0.565867	
4573.402680	0.524440	
4573.404164	0.719644	
4573.405945	0.648834	
4573.407433	0.753124	
4573.409218	0.788460	
4573.410703	0.897482	
4573.412446	0.896790	
4573.413948	1.067131	
4573.415667	0.971003	
4573.417191	1.148382	
4573.418902	1.068207	
4573.420436	1.259665	
4573.422120	1.175429	
4573.423679	1.390819	
4573.425340	1.250960	
4573.426917	1.391194	
4573.428583	1.378665	
4573.430169	1.396672	
4573.431814	1.396974	
4573.433413	1.396813	
4573.435016	1.397139	
4573.436648	1.396805	
4573.438240	1.397055	
