time (s)	det(V)
4221.411250	-1.126366	
4221.412742	-1.018193	
4221.414448	-1.182831	
4221.415950	-1.000235	
4221.417520	-1.198005	
4221.419066	-1.075319	
4221.420619	-1.196410	
4221.422211	-1.175543	
4221.423706	-1.231598	
4221.425358	-1.205393	
4221.426863	-1.218111	
4221.428503	-1.290641	
4221.430006	-1.318114	
4221.431637	-1.392900	
4221.433125	-1.264976	
4221.434754	-1.475931	
4221.436231	-1.430403	
4221.437855	-1.533862	
4221.439339	-1.382220	
4221.440941	-1.549021	
4221.442459	-1.499831	
4221.444003	-1.592338	
4221.445581	-1.530511	
4221.447072	-1.586126	
4221.448721	-1.550391	
4221.450224	-1.640367	
4221.451852	-1.648227	
4221.453363	-1.620766	
4221.454934	-1.748765	
4221.456409	-1.734412	
4221.457966	-1.750892	
4221.459455	-1.765193	
4221.461003	-1.839620	
4221.462556	-1.854005	
4221.464051	-1.852789	
4221.465634	-1.851355	
4221.467137	-1.853776	
4221.468723	-1.855274	
4221.470227	-1.855137	
4221.471796	-1.854593	
4221.473302	-1.855379	
4221.474854	-1.855459	
4221.476359	-1.855270	
4221.477904	-1.854751	
4221.479413	-1.855403	
4221.480930	-1.855637	
4221.482494	-1.855608	
4221.483989	-1.855685	
4221.485584	-1.855689	
4221.487093	-1.855588	
4221.488667	-1.855552	
4221.490184	-1.855681	
4221.491699	-1.855411	
4221.493266	-1.855508	
4221.494784	-1.855689	
4221.496360	-1.855371	
4221.497846	-1.855749	
4221.499423	-1.855746	
4221.500947	-1.855721	
4221.502528	-1.855814	
4221.504014	-1.855665	
4221.505584	-1.855677	
4221.507111	-1.855677	
4221.508674	-1.855669	
4221.510189	-1.855814	
4221.511701	-1.855762	
4221.513274	-1.855826	
4221.514781	-1.855749	
4221.516367	-1.855737	
4221.517884	-1.855758	
4221.519479	-1.855802	
4221.520975	-1.855685	
4221.522553	-1.855878	
4221.524049	-1.855818	
4221.525612	-1.855822	
4221.527138	-1.855770	
4221.528658	-1.855645	
4221.530227	-1.855770	
4221.531729	-1.855810	
4221.533313	-1.855891	
4221.534823	-1.855842	
4221.536405	-1.855810	
4221.537908	-1.855842	
4221.539463	-1.855814	
4221.540982	-1.855830	
4221.542524	-1.855733	
4221.544065	-1.855822	
4221.545605	-1.855758	
4221.547163	-1.855850	
